epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,1.0,1.0016196885846633,1.0,0.337892147693744,0.33327031904437826,Feynman56,y,0.33327031904437826,0.0,0.337892147693744
1.0,1.0,1.0,1.0,1.0040806569736966,1.0,0.3383081727554992,0.318890704142636,Feynman56,y,0.318890704142636,0.0,0.3383081727554992
1.0,1.0,1.0,1.0,1.0065923803397963,1.0,0.33873330179113764,0.34122493403512677,Feynman56,y,0.34122493403512677,0.0,0.33873330179113764
1.0,1.0,1.0,1.0,1.00712441636771,1.0,0.3388234208313569,0.30702269792121756,Feynman56,y,0.30702269792121756,0.0,0.3388234208313569
1.0,1.0,1.0,1.0,1.0078797337459666,1.0,0.33895140102761717,0.3692925185851421,Feynman56,y,0.3692925185851421,0.0,0.33895140102761717
1.0,1.0,1.0,1.0,1.0093294099946244,1.0,0.3391971659431006,0.3247763293021963,Feynman56,y,0.3247763293021963,0.0,0.3391971659431006
1.0,1.0,1.0,1.0,1.0104158714589655,1.0,0.3393814694200983,0.34531477203515504,Feynman56,y,0.34531477203515504,0.0,0.3393814694200983
1.0,1.0,1.0,1.0,1.0109534918083785,1.0,0.3394727057203725,0.3642832459581735,Feynman56,y,0.3642832459581735,0.0,0.3394727057203725
1.0,1.0,1.0,1.0,1.011060554786032,1.0,0.33949087759727864,0.2584608232018901,Feynman56,y,0.2584608232018901,0.0,0.33949087759727864
1.0,1.0,1.0,1.0,1.011320107264269,1.0,0.3395349355772263,0.22693059894111858,Feynman56,y,0.22693059894111858,0.0,0.3395349355772263
1.0,1.0,1.0,1.0,1.0153725426764906,1.0,0.3402235437010817,0.3334377416023159,Feynman56,y,0.3334377416023159,0.0,0.3402235437010817
1.0,1.0,1.0,1.0,1.015876181465245,1.0,0.3403092190771666,0.4104765367517259,Feynman56,y,0.4104765367517259,0.0,0.3403092190771666
