epsilon,p_d,r,x,y,z,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,1.0,1.0,1.0011378074734214,0.33800276354627734,0.3366196667687845,Feynman56,z,0.3366196667687845,0.0,0.33800276354627734
1.0,1.0,1.0,1.0,1.0,1.0025469542758267,0.33847851774305215,0.3750173377911173,Feynman56,z,0.3750173377911173,0.0,0.33847851774305215
1.0,1.0,1.0,1.0,1.0,1.0044320748634317,0.33911496955165626,0.4065931296776467,Feynman56,z,0.4065931296776467,0.0,0.33911496955165626
1.0,1.0,1.0,1.0,1.0,1.0059309554990552,0.33962101956124024,0.4201731851998646,Feynman56,z,0.4201731851998646,0.0,0.33962101956124024
1.0,1.0,1.0,1.0,1.0,1.0061535348649053,0.33969616649925827,0.29235449587033424,Feynman56,z,0.29235449587033424,0.0,0.33969616649925827
1.0,1.0,1.0,1.0,1.0,1.0062664096706824,0.33973427513525484,0.4663900617607901,Feynman56,z,0.4663900617607901,0.0,0.33973427513525484
1.0,1.0,1.0,1.0,1.0,1.006405547762778,0.3397812507456971,0.4828271338180117,Feynman56,z,0.4828271338180117,0.0,0.3397812507456971
1.0,1.0,1.0,1.0,1.0,1.0079212438150127,0.3402929779530077,0.39332201706658676,Feynman56,z,0.39332201706658676,0.0,0.3402929779530077
1.0,1.0,1.0,1.0,1.0,1.008701730676073,0.3405564848488423,0.30918661875305337,Feynman56,z,0.30918661875305337,0.0,0.3405564848488423
1.0,1.0,1.0,1.0,1.0,1.009645684159551,0.340875181119918,0.2830100541965201,Feynman56,z,0.2830100541965201,0.0,0.340875181119918
1.0,1.0,1.0,1.0,1.0,1.010210049974835,0.34106572152683606,0.3591626575511508,Feynman56,z,0.3591626575511508,0.0,0.34106572152683606
1.0,1.0,1.0,1.0,1.0,1.0111443148252885,0.34138114673501435,0.28353810898970017,Feynman56,z,0.28353810898970017,0.0,0.34138114673501435
1.0,1.0,1.0,1.0,1.0,1.0118290390150575,0.341612322370058,0.26698093671756595,Feynman56,z,0.26698093671756595,0.0,0.341612322370058
1.0,1.0,1.0,1.0,1.0,1.0150562337452518,0.34270188339668683,0.36896484865432266,Feynman56,z,0.36896484865432266,0.0,0.34270188339668683
1.0,1.0,1.0,1.0,1.0,1.0191869513986314,0.3440964905844778,0.2915922948290664,Feynman56,z,0.2915922948290664,0.0,0.3440964905844778
1.0,1.0,1.0,1.0,1.0,1.0197467058504956,0.34428547410924837,0.2237013784419764,Feynman56,z,0.2237013784419764,0.0,0.34428547410924837
1.0,1.0,1.0,1.0,1.0,1.0205264317409857,0.34454872408725024,0.33092270852235467,Feynman56,z,0.33092270852235467,0.0,0.34454872408725024
1.0,1.0,1.0,1.0,1.0,1.0206257653255908,0.3445822609548611,0.30158049368387296,Feynman56,z,0.30158049368387296,0.0,0.3445822609548611
1.0,1.0,1.0,1.0,1.0,1.0207105838604467,0.34461089727142735,0.2572950914072396,Feynman56,z,0.2572950914072396,0.0,0.34461089727142735
1.0,1.0,1.0,1.0,1.0,1.0207849453272149,0.3446360030871117,0.256067411322023,Feynman56,z,0.256067411322023,0.0,0.3446360030871117
1.0,1.0,1.0,1.0,1.0,1.020843405408647,0.3446557402990456,0.43479808367553463,Feynman56,z,0.43479808367553463,0.0,0.3446557402990456
1.0,1.0,1.0,1.0,1.0,1.0213731003499413,0.34483457517338306,0.440771920011867,Feynman56,z,0.440771920011867,0.0,0.34483457517338306
1.0,1.0,1.0,1.0,1.0,1.0213750679395117,0.34483523946825567,0.37745738309956467,Feynman56,z,0.37745738309956467,0.0,0.34483523946825567
1.0,1.0,1.0,1.0,1.0,1.0215794374416671,0.344904238417249,0.3389000068561975,Feynman56,z,0.3389000068561975,0.0,0.344904238417249
1.0,1.0,1.0,1.0,1.0,1.0216563407143189,0.3449302023939243,0.29475385196735665,Feynman56,z,0.29475385196735665,0.0,0.3449302023939243
1.0,1.0,1.0,1.0,1.0,1.0223057097869512,0.34514944148316135,0.3480210249081504,Feynman56,z,0.3480210249081504,0.0,0.34514944148316135
1.0,1.0,1.0,1.0,1.0,1.023941197352751,0.34570161253579695,0.34597215076588134,Feynman56,z,0.34597215076588134,0.0,0.34570161253579695
1.0,1.0,1.0,1.0,1.0,1.026260791083773,0.34648475056688255,0.23562517812230743,Feynman56,z,0.23562517812230743,0.0,0.34648475056688255
1.0,1.0,1.0,1.0,1.0,1.0271769036272511,0.3467940472182561,0.37473774086433265,Feynman56,z,0.37473774086433265,0.0,0.3467940472182561
1.0,1.0,1.0,1.0,1.0,1.0296040698203162,0.3476135037153716,0.33904410426458115,Feynman56,z,0.33904410426458115,0.0,0.3476135037153716
1.0,1.0,1.0,1.0,1.0,1.029954719902183,0.34773188971160907,0.34744262315457697,Feynman56,z,0.34744262315457697,0.0,0.34773188971160907
1.0,1.0,1.0,1.0,1.0,1.0301093305236155,0.34778408913603165,0.29837595636821135,Feynman56,z,0.29837595636821135,0.0,0.34778408913603165
1.0,1.0,1.0,1.0,1.0,1.0312376711299227,0.348165037932797,0.22395669154159115,Feynman56,z,0.22395669154159115,0.0,0.348165037932797
1.0,1.0,1.0,1.0,1.0,1.0314757201859543,0.3482454077262436,0.3473697901937545,Feynman56,z,0.3473697901937545,0.0,0.3482454077262436
1.0,1.0,1.0,1.0,1.0,1.0322242864982938,0.3484981376505154,0.3936995689399212,Feynman56,z,0.3936995689399212,0.0,0.3484981376505154
1.0,1.0,1.0,1.0,1.0,1.032744633566634,0.3486738165088996,0.45642659709520667,Feynman56,z,0.45642659709520667,0.0,0.3486738165088996
