m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0004625735142283,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0833718811261857,0.08466119885019108,Feynman5,m2,0.08466119885019108,0.0,0.0833718811261857
1.0,1.0020453824925126,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08350378187437606,0.08215278193385579,Feynman5,m2,0.08215278193385579,0.0,0.08350378187437606
1.0,1.0020828525593688,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0835069043799474,0.08528693693662527,Feynman5,m2,0.08528693693662527,0.0,0.0835069043799474
1.0,1.0033262361725925,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08361051968104938,0.08642091962046984,Feynman5,m2,0.08642091962046984,0.0,0.08361051968104938
1.0,1.0040378668238024,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08366982223531687,0.07407670802106861,Feynman5,m2,0.07407670802106861,0.0,0.08366982223531687
1.0,1.0046282772868427,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08371902310723689,0.07320451724175228,Feynman5,m2,0.07320451724175228,0.0,0.08371902310723689
1.0,1.005008367022872,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.083750697251906,0.08275749948126189,Feynman5,m2,0.08275749948126189,0.0,0.083750697251906
1.0,1.0054638663607813,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0837886555300651,0.08958362944537196,Feynman5,m2,0.08958362944537196,0.0,0.0837886555300651
1.0,1.0059093526542862,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08382577938785718,0.08055987905586362,Feynman5,m2,0.08055987905586362,0.0,0.08382577938785718
1.0,1.0063052884864399,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08385877404053665,0.08161671801028854,Feynman5,m2,0.08161671801028854,0.0,0.08385877404053665
1.0,1.0069588761281476,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08391323967734564,0.08180068936139148,Feynman5,m2,0.08180068936139148,0.0,0.08391323967734564
1.0,1.0072104026648705,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08393420022207254,0.08719654289347634,Feynman5,m2,0.08719654289347634,0.0,0.08393420022207254
1.0,1.0079319226172714,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08399432688477261,0.0829598095847712,Feynman5,m2,0.0829598095847712,0.0,0.08399432688477261
