m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,3.0,1.0006904491923607,3.0,1.0,3.0,1.0,0.08335251358057619,0.08354101357829954,Feynman5,x2,0.08354101357829954,0.0,0.08335251358057619
1.0,1.0,1.0,3.0,1.0009410357301762,3.0,1.0,3.0,1.0,0.08335947526332074,0.08246592103371599,Feynman5,x2,0.08246592103371599,0.0,0.08335947526332074
1.0,1.0,1.0,3.0,1.0011197903540436,3.0,1.0,3.0,1.0,0.08336444152139441,0.08071992695753608,Feynman5,x2,0.08071992695753608,0.0,0.08336444152139441
1.0,1.0,1.0,3.0,1.00151052558396,3.0,1.0,3.0,1.0,0.08337529765369392,0.08598761701964582,Feynman5,x2,0.08598761701964582,0.0,0.08337529765369392
1.0,1.0,1.0,3.0,1.0020979203942608,3.0,1.0,3.0,1.0,0.08339161907370257,0.07862777109932585,Feynman5,x2,0.07862777109932585,0.0,0.08339161907370257
1.0,1.0,1.0,3.0,1.0023437980906515,3.0,1.0,3.0,1.0,0.08339845153214002,0.08359783835914371,Feynman5,x2,0.08359783835914371,0.0,0.08339845153214002
1.0,1.0,1.0,3.0,1.0023905848491133,3.0,1.0,3.0,1.0,0.08339975167585031,0.0859156733705967,Feynman5,x2,0.0859156733705967,0.0,0.08339975167585031
1.0,1.0,1.0,3.0,1.0026301293312647,3.0,1.0,3.0,1.0,0.08340640846623015,0.082733825795817,Feynman5,x2,0.082733825795817,0.0,0.08340640846623015
1.0,1.0,1.0,3.0,1.002817511005996,3.0,1.0,3.0,1.0,0.08341161586923611,0.08753585770460728,Feynman5,x2,0.08753585770460728,0.0,0.08341161586923611
1.0,1.0,1.0,3.0,1.0034916586600309,3.0,1.0,3.0,1.0,0.08343035200735109,0.08306894144383656,Feynman5,x2,0.08306894144383656,0.0,0.08343035200735109
1.0,1.0,1.0,3.0,1.0037724477808379,3.0,1.0,3.0,1.0,0.08343815640944216,0.08898113004167152,Feynman5,x2,0.08898113004167152,0.0,0.08343815640944216
