m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,3.0,1.0000864794127358,3.0,1.0,3.0,1.0,0.08333573555655344,0.08674631245670189,Feynman5,x2,0.08674631245670189,0.0,0.08333573555655344
1.0,1.0,1.0,3.0,1.0001073172524388,3.0,1.0,3.0,1.0,0.08333631439478109,0.081905890124062,Feynman5,x2,0.081905890124062,0.0,0.08333631439478109
1.0,1.0,1.0,3.0,1.0018789188416057,3.0,1.0,3.0,1.0,0.08338553368520678,0.08172917283533229,Feynman5,x2,0.08172917283533229,0.0,0.08338553368520678
1.0,1.0,1.0,3.0,1.0021137213728715,3.0,1.0,3.0,1.0,0.08339205814349672,0.0846102282761026,Feynman5,x2,0.0846102282761026,0.0,0.08339205814349672
1.0,1.0,1.0,3.0,1.0032625365920618,3.0,1.0,3.0,1.0,0.08342398393533297,0.08050653423870299,Feynman5,x2,0.08050653423870299,0.0,0.08342398393533297
1.0,1.0,1.0,3.0,1.0035676318720217,3.0,1.0,3.0,1.0,0.08343246361143372,0.08744160984854635,Feynman5,x2,0.08744160984854635,0.0,0.08343246361143372
1.0,1.0,1.0,3.0,1.0035827442592424,3.0,1.0,3.0,1.0,0.08343288364920855,0.07820672663453247,Feynman5,x2,0.07820672663453247,0.0,0.08343288364920855
1.0,1.0,1.0,3.0,1.004141446862444,3.0,1.0,3.0,1.0,0.0834484131168671,0.08146310493619571,Feynman5,x2,0.08146310493619571,0.0,0.0834484131168671
1.0,1.0,1.0,3.0,1.0042477405337586,3.0,1.0,3.0,1.0,0.08345136777432802,0.08571067826358247,Feynman5,x2,0.08571067826358247,0.0,0.08345136777432802
1.0,1.0,1.0,3.0,1.0059104378851875,3.0,1.0,3.0,1.0,0.0834975927080503,0.08514910492481063,Feynman5,x2,0.08514910492481063,0.0,0.0834975927080503
1.0,1.0,1.0,3.0,1.0061122903677409,3.0,1.0,3.0,1.0,0.08350320530519072,0.08351747158016125,Feynman5,x2,0.08351747158016125,0.0,0.08350320530519072
1.0,1.0,1.0,3.0,1.0061552451849358,3.0,1.0,3.0,1.0,0.0835043997068383,0.08225516896427443,Feynman5,x2,0.08225516896427443,0.0,0.0835043997068383
1.0,1.0,1.0,3.0,1.0063331000293188,3.0,1.0,3.0,1.0,0.0835093452284178,0.07945434799630297,Feynman5,x2,0.07945434799630297,0.0,0.0835093452284178
1.0,1.0,1.0,3.0,1.0063481906572,3.0,1.0,3.0,1.0,0.08350976485268888,0.07833218037519492,Feynman5,x2,0.07833218037519492,0.0,0.08350976485268888
1.0,1.0,1.0,3.0,1.006377253747043,3.0,1.0,3.0,1.0,0.08351057301138445,0.08252253923839306,Feynman5,x2,0.08252253923839306,0.0,0.08351057301138445
1.0,1.0,1.0,3.0,1.0105407438056642,3.0,1.0,3.0,1.0,0.08362638714907637,0.08561916315164772,Feynman5,x2,0.08561916315164772,0.0,0.08362638714907637
1.0,1.0,1.0,3.0,1.0109501713620066,3.0,1.0,3.0,1.0,0.08363778028441479,0.08012248175938416,Feynman5,x2,0.08012248175938416,0.0,0.08363778028441479
1.0,1.0,1.0,3.0,1.012258189069914,3.0,1.0,3.0,1.0,0.08367418355823267,0.08402400813871726,Feynman5,x2,0.08402400813871726,0.0,0.08367418355823267
1.0,1.0,1.0,3.0,1.0126034906970292,3.0,1.0,3.0,1.0,0.08368379489334435,0.08844918658760276,Feynman5,x2,0.08844918658760276,0.0,0.08368379489334435
1.0,1.0,1.0,3.0,1.0132743132999895,3.0,1.0,3.0,1.0,0.08370246851419551,0.08138062245614537,Feynman5,x2,0.08138062245614537,0.0,0.08370246851419551
1.0,1.0,1.0,3.0,1.013582134524019,3.0,1.0,3.0,1.0,0.08371103798119509,0.08619346786246473,Feynman5,x2,0.08619346786246473,0.0,0.08371103798119509
1.0,1.0,1.0,3.0,1.0142629408313129,3.0,1.0,3.0,1.0,0.08372999253340353,0.08110019589808729,Feynman5,x2,0.08110019589808729,0.0,0.08372999253340353
1.0,1.0,1.0,3.0,1.0145098356463067,3.0,1.0,3.0,1.0,0.08373686692814197,0.08461426931687692,Feynman5,x2,0.08461426931687692,0.0,0.08373686692814197
1.0,1.0,1.0,3.0,1.0153875700421402,3.0,1.0,3.0,1.0,0.08376130826781371,0.08338227918482242,Feynman5,x2,0.08338227918482242,0.0,0.08376130826781371
1.0,1.0,1.0,3.0,1.015657007439252,3.0,1.0,3.0,1.0,0.08376881169897028,0.08411892708127498,Feynman5,x2,0.08411892708127498,0.0,0.08376881169897028
1.0,1.0,1.0,3.0,1.0164062672734446,3.0,1.0,3.0,1.0,0.08378967918215949,0.08515158201026077,Feynman5,x2,0.08515158201026077,0.0,0.08378967918215949
1.0,1.0,1.0,3.0,1.0171144814174675,3.0,1.0,3.0,1.0,0.08380940582002584,0.08111585437804383,Feynman5,x2,0.08111585437804383,0.0,0.08380940582002584
1.0,1.0,1.0,3.0,1.0174245940721847,3.0,1.0,3.0,1.0,0.08381804442170009,0.08321252919712795,Feynman5,x2,0.08321252919712795,0.0,0.08381804442170009
1.0,1.0,1.0,3.0,1.017746767625754,3.0,1.0,3.0,1.0,0.08382701945064162,0.0827164540938736,Feynman5,x2,0.0827164540938736,0.0,0.08382701945064162
1.0,1.0,1.0,3.0,1.0183987575622648,3.0,1.0,3.0,1.0,0.08384518383739388,0.08012170899593439,Feynman5,x2,0.08012170899593439,0.0,0.08384518383739388
