m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,3.0,1.0,3.000236514961307,1.0,3.0,1.0,0.08332676360280664,0.08194568645411401,Feynman5,y1,0.08194568645411401,0.0,0.08332676360280664
1.0,1.0,1.0,3.0,1.0,3.001667899337228,1.0,3.0,1.0,0.083287009242899,0.08207209721418923,Feynman5,y1,0.08207209721418923,0.0,0.083287009242899
1.0,1.0,1.0,3.0,1.0,3.0016951238266656,1.0,3.0,1.0,0.08328625321937387,0.08838424148156118,Feynman5,y1,0.08838424148156118,0.0,0.08328625321937387
1.0,1.0,1.0,3.0,1.0,3.0019233281421567,1.0,3.0,1.0,0.0832799161255191,0.08455958137773784,Feynman5,y1,0.08455958137773784,0.0,0.0832799161255191
1.0,1.0,1.0,3.0,1.0,3.001943152353265,1.0,3.0,1.0,0.08327936563076131,0.07993922445260976,Feynman5,y1,0.07993922445260976,0.0,0.08327936563076131
1.0,1.0,1.0,3.0,1.0,3.0025121405023523,1.0,3.0,1.0,0.08326356628559876,0.07743765122516466,Feynman5,y1,0.07743765122516466,0.0,0.08326356628559876
1.0,1.0,1.0,3.0,1.0,3.0027845875039634,1.0,3.0,1.0,0.08325600166262956,0.07862876117446524,Feynman5,y1,0.07862876117446524,0.0,0.08325600166262956
1.0,1.0,1.0,3.0,1.0,3.003720985646974,1.0,3.0,1.0,0.08323000475059832,0.08551187249355313,Feynman5,y1,0.08551187249355313,0.0,0.08323000475059832
1.0,1.0,1.0,3.0,1.0,3.003888103901254,1.0,3.0,1.0,0.08322536553160262,0.08474429928816765,Feynman5,y1,0.08474429928816765,0.0,0.08322536553160262
1.0,1.0,1.0,3.0,1.0,3.0039194181232336,1.0,3.0,1.0,0.08322449626024815,0.08350780395684163,Feynman5,y1,0.08350780395684163,0.0,0.08322449626024815
1.0,1.0,1.0,3.0,1.0,3.0052010269928378,1.0,3.0,1.0,0.0831889231952281,0.08555946619454946,Feynman5,y1,0.08555946619454946,0.0,0.0831889231952281
1.0,1.0,1.0,3.0,1.0,3.0054714272615644,1.0,3.0,1.0,0.08318141879236314,0.08539210950476395,Feynman5,y1,0.08539210950476395,0.0,0.08318141879236314
1.0,1.0,1.0,3.0,1.0,3.00581834409082,1.0,3.0,1.0,0.08317179133102087,0.08082840296210582,Feynman5,y1,0.08082840296210582,0.0,0.08317179133102087
1.0,1.0,1.0,3.0,1.0,3.0058914764593525,1.0,3.0,1.0,0.08316976187023527,0.08510877516390694,Feynman5,y1,0.08510877516390694,0.0,0.08316976187023527
1.0,1.0,1.0,3.0,1.0,3.0059103210293383,1.0,3.0,1.0,0.08316923892779915,0.08242987498409375,Feynman5,y1,0.08242987498409375,0.0,0.08316923892779915
