m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,3.0,1.0,3.0,1.0004471677744426,3.0,1.0,0.08334575512313128,0.09143444504201619,Feynman5,y2,0.09143444504201619,0.0,0.08334575512313128
1.0,1.0,1.0,3.0,1.0,3.0,1.0005748110314947,3.0,1.0,0.08334930107096993,0.08677981064215703,Feynman5,y2,0.08677981064215703,0.0,0.08334930107096993
1.0,1.0,1.0,3.0,1.0,3.0,1.0005976505294973,3.0,1.0,0.08334993556342077,0.08762140797191645,Feynman5,y2,0.08762140797191645,0.0,0.08334993556342077
1.0,1.0,1.0,3.0,1.0,3.0,1.0009133889143094,3.0,1.0,0.08335870717764536,0.0816937532090741,Feynman5,y2,0.0816937532090741,0.0,0.08335870717764536
1.0,1.0,1.0,3.0,1.0,3.0,1.0010783168075466,3.0,1.0,0.08336328926764212,0.07893636940825247,Feynman5,y2,0.07893636940825247,0.0,0.08336328926764212
1.0,1.0,1.0,3.0,1.0,3.0,1.001138703073965,3.0,1.0,0.08336496697348941,0.08450492753891849,Feynman5,y2,0.08450492753891849,0.0,0.08336496697348941
1.0,1.0,1.0,3.0,1.0,3.0,1.0012868048228465,3.0,1.0,0.08336908174148021,0.08610860020430051,Feynman5,y2,0.08610860020430051,0.0,0.08336908174148021
1.0,1.0,1.0,3.0,1.0,3.0,1.0023450998612162,3.0,1.0,0.08339848770652963,0.07991246410324142,Feynman5,y2,0.07991246410324142,0.0,0.08339848770652963
1.0,1.0,1.0,3.0,1.0,3.0,1.0032036441262062,3.0,1.0,0.08342234715485627,0.08626463727208016,Feynman5,y2,0.08626463727208016,0.0,0.08342234715485627
1.0,1.0,1.0,3.0,1.0,3.0,1.003872781339758,3.0,1.0,0.08344094522157373,0.0820020197527057,Feynman5,y2,0.0820020197527057,0.0,0.08344094522157373
1.0,1.0,1.0,3.0,1.0,3.0,1.0044688518041016,3.0,1.0,0.08345751419598729,0.0838697253603135,Feynman5,y2,0.0838697253603135,0.0,0.08345751419598729
1.0,1.0,1.0,3.0,1.0,3.0,1.004790548521031,3.0,1.0,0.08346645707905817,0.08497821582753406,Feynman5,y2,0.08497821582753406,0.0,0.08346645707905817
1.0,1.0,1.0,3.0,1.0,3.0,1.0051986527091568,3.0,1.0,0.08347780269585808,0.0818733644543743,Feynman5,y2,0.0818733644543743,0.0,0.08347780269585808
1.0,1.0,1.0,3.0,1.0,3.0,1.0055947339500313,3.0,1.0,0.08348881479491056,0.08374577672804917,Feynman5,y2,0.08374577672804917,0.0,0.08348881479491056
1.0,1.0,1.0,3.0,1.0,3.0,1.0062642000637454,3.0,1.0,0.08350742934403733,0.084490750203454,Feynman5,y2,0.084490750203454,0.0,0.08350742934403733
1.0,1.0,1.0,3.0,1.0,3.0,1.006885464057734,3.0,1.0,0.08352470546295322,0.07900082443752439,Feynman5,y2,0.07900082443752439,0.0,0.08352470546295322
1.0,1.0,1.0,3.0,1.0,3.0,1.00721072112291,3.0,1.0,0.08353375091944876,0.08477898816895293,Feynman5,y2,0.08477898816895293,0.0,0.08353375091944876
1.0,1.0,1.0,3.0,1.0,3.0,1.0082899369645215,3.0,1.0,0.08356376755874469,0.0842901862488823,Feynman5,y2,0.0842901862488823,0.0,0.08356376755874469
1.0,1.0,1.0,3.0,1.0,3.0,1.0089533402724398,3.0,1.0,0.08358222167852988,0.079540502947424,Feynman5,y2,0.079540502947424,0.0,0.08358222167852988
1.0,1.0,1.0,3.0,1.0,3.0,1.009066385706931,3.0,1.0,0.0835853665021564,0.08078675589379883,Feynman5,y2,0.08078675589379883,0.0,0.0835853665021564
1.0,1.0,1.0,3.0,1.0,3.0,1.009143865126929,3.0,1.0,0.08358752194438178,0.08229704970550492,Feynman5,y2,0.08229704970550492,0.0,0.08358752194438178
