m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.000280228070815,1.0,0.08332554940206634,0.0820807209831191,Feynman5,z1,0.0820807209831191,0.0,0.08332554940206634
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.00043602266261,1.0,0.08332122203291595,0.08290998699994218,Feynman5,z1,0.08290998699994218,0.0,0.08332122203291595
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.000684564301773,1.0,0.08331431874356669,0.0810308306657027,Feynman5,z1,0.0810308306657027,0.0,0.08331431874356669
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0007700066172696,1.0,0.08331194563381299,0.0791131512885251,Feynman5,z1,0.0791131512885251,0.0,0.08331194563381299
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.001142934139663,1.0,0.08330158818892897,0.08616859284528301,Feynman5,z1,0.08616859284528301,0.0,0.08330158818892897
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.001255995999971,1.0,0.08329844821029271,0.0825736125822774,Feynman5,z1,0.0825736125822774,0.0,0.08329844821029271
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0015652958210257,1.0,0.08328985857142053,0.08095755394042715,Feynman5,z1,0.08095755394042715,0.0,0.08328985857142053
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0026376269669286,1.0,0.0832600820502119,0.08525838637534493,Feynman5,z1,0.08525838637534493,0.0,0.0832600820502119
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.003151562494044,1.0,0.08324581297049947,0.0857516951860135,Feynman5,z1,0.0857516951860135,0.0,0.08324581297049947
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.00316719514129,1.0,0.08324537895967409,0.0841362720467721,Feynman5,z1,0.0841362720467721,0.0,0.08324537895967409
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0032429405186036,1.0,0.08324327604894166,0.08379865093319869,Feynman5,z1,0.08379865093319869,0.0,0.08324327604894166
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0036303859922002,1.0,0.08323251986028073,0.08334388618028346,Feynman5,z1,0.08334388618028346,0.0,0.08323251986028073
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0054254387752506,1.0,0.08318269508399295,0.08392571057037324,Feynman5,z1,0.08392571057037324,0.0,0.08318269508399295
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0059524487708975,1.0,0.08316806987642529,0.08170448837018444,Feynman5,z1,0.08170448837018444,0.0,0.08316806987642529
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.006505069388319,1.0,0.08315273533850313,0.08502478920115711,Feynman5,z1,0.08502478920115711,0.0,0.08315273533850313
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0076455641487,1.0,0.08312109255039295,0.08302594820438926,Feynman5,z1,0.08302594820438926,0.0,0.08312109255039295
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.008377955762209,1.0,0.08310077572112518,0.08166633751064781,Feynman5,z1,0.08166633751064781,0.0,0.08310077572112518
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.009193241711768,1.0,0.08307816234017262,0.08189429579723932,Feynman5,z1,0.08189429579723932,0.0,0.08307816234017262
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0121801022859165,1.0,0.08299534334583322,0.08323097234687249,Feynman5,z1,0.08323097234687249,0.0,0.08299534334583322
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.012705777197117,1.0,0.08298077192109708,0.07732462850508295,Feynman5,z1,0.07732462850508295,0.0,0.08298077192109708
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0137085860988995,1.0,0.08295297823805078,0.08190752853665799,Feynman5,z1,0.08190752853665799,0.0,0.08295297823805078
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.013824552353125,1.0,0.08294976444511361,0.08287586474837709,Feynman5,z1,0.08287586474837709,0.0,0.08294976444511361
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0146565126283043,1.0,0.0829267100617999,0.08036580939848077,Feynman5,z1,0.08036580939848077,0.0,0.0829267100617999
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0161368391891283,1.0,0.0828856970091916,0.07961845012221494,Feynman5,z1,0.07961845012221494,0.0,0.0828856970091916
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0163560802446847,1.0,0.08287962373536681,0.08573843570668016,Feynman5,z1,0.08573843570668016,0.0,0.08287962373536681
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0167167926590692,1.0,0.0828696320134219,0.08291751831178104,Feynman5,z1,0.08291751831178104,0.0,0.0828696320134219
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.016951770433213,1.0,0.08286312347150702,0.08125147665674642,Feynman5,z1,0.08125147665674642,0.0,0.08286312347150702
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.017409236305535,1.0,0.08285045309134381,0.0862076379752597,Feynman5,z1,0.0862076379752597,0.0,0.08285045309134381
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.018162219503858,1.0,0.08282959998398903,0.08648226415646984,Feynman5,z1,0.08648226415646984,0.0,0.08282959998398903
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0185027932882273,1.0,0.08282016903051916,0.07980077040435343,Feynman5,z1,0.07980077040435343,0.0,0.08282016903051916
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.018689757346089,1.0,0.08281499197687311,0.08591921470784473,Feynman5,z1,0.08591921470784473,0.0,0.08281499197687311
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0187096491096757,1.0,0.08281444118180405,0.08159826154119296,Feynman5,z1,0.08159826154119296,0.0,0.08281444118180405
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.01963966892676,1.0,0.08278869142217911,0.08348467858434887,Feynman5,z1,0.08348467858434887,0.0,0.08278869142217911
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0200276711719223,1.0,0.0827779499075005,0.08176515125511107,Feynman5,z1,0.08176515125511107,0.0,0.0827779499075005
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.020344383262894,1.0,0.08276918253751081,0.08508861573839868,Feynman5,z1,0.08508861573839868,0.0,0.08276918253751081
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0208850741420594,1.0,0.08275421599966795,0.08170346975157392,Feynman5,z1,0.08170346975157392,0.0,0.08275421599966795
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0212995570674845,1.0,0.08274274390192767,0.08594869607211256,Feynman5,z1,0.08594869607211256,0.0,0.08274274390192767
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.022172614432321,1.0,0.0827185820488723,0.08048410408572455,Feynman5,z1,0.08048410408572455,0.0,0.0827185820488723
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0227973447121954,1.0,0.08270129490495555,0.08367791031002007,Feynman5,z1,0.08367791031002007,0.0,0.08270129490495555
