m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0006289521443748,0.08335080514154486,0.08336721535934943,Feynman5,z2,0.08336721535934943,0.0,0.08335080514154486
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0008133681792093,0.08335592842444316,0.08235713715811831,Feynman5,z2,0.08235713715811831,0.0,0.08335592842444316
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0010871876177307,0.08336353572345502,0.08406318010756006,Feynman5,z2,0.08406318010756006,0.0,0.08336353572345502
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0019423936564136,0.08338729743490764,0.08571066093635167,Feynman5,z2,0.08571066093635167,0.0,0.08338729743490764
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0021105180489742,0.08339196913102043,0.0832458126653366,Feynman5,z2,0.0832458126653366,0.0,0.08339196913102043
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0022669894673852,0.08339631714137667,0.08299208657822947,Feynman5,z2,0.08299208657822947,0.0,0.08339631714137667
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0029075387476711,0.08341411782950303,0.0852291621030533,Feynman5,z2,0.0852291621030533,0.0,0.08341411782950303
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0034475585508735,0.08342912629840181,0.0851924697996583,Feynman5,z2,0.0851924697996583,0.0,0.08342912629840181
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0035954522461916,0.08343323685924489,0.08136980126184022,Feynman5,z2,0.08136980126184022,0.0,0.08343323685924489
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0040274764534007,0.08344524512586801,0.08279859258116856,Feynman5,z2,0.08279859258116856,0.0,0.08344524512586801
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0041492586502792,0.08344863026027012,0.08767668734043137,Feynman5,z2,0.08767668734043137,0.0,0.08344863026027012
1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0043280463775144,0.08345360007953642,0.08264651002508622,Feynman5,z2,0.08264651002508622,0.0,0.08345360007953642
