n,alpha,epsilon,Ef,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
0.0,0.0,1.0,1.0001037385000693,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0004802473350152,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.001117314217252,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.001612325677856,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0016196696693638,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0016899106910655,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0017257120161172,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0044472780686369,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0049221152008398,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0051826837819229,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0053053948013022,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0054088666599106,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.006341393655331,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0065665408170283,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0066871584813568,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0069388651961413,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0070410519330721,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.007689273771191,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0077594245506734,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0088831751953076,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0092816054365532,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.009314581598013,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0093697842672111,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0100346801716655,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0103648959496268,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0104195074702418,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0109989380680988,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0112642895056423,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0119279834357258,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0119748297983837,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.012006169259202,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0122861702683479,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0123658888937395,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0125134239622846,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.012988596349747,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0131160263973635,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0131451720649127,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0132162336959714,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
0.0,0.0,1.0,1.0143546955613862,0.0,0.0,Feynman64,Ef,0.0,0.0,0.0
