n,alpha,epsilon,Ef,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
0.0,0.0,1.0002981568434075,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0003572743567002,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0021633763438986,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0027025955345619,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0028442115685814,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.003131805031482,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0033726741577969,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0034911933498374,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0039435546724802,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0041493133753072,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0042464012524737,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0042656470916738,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0045011002692974,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0046355862002336,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.005132612825287,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0060823100255742,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0064254790084388,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0065460606274927,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.006577105674399,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0070588155544737,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0074660929885244,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0075840323368093,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.007984371966192,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0081494372774433,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0088761278300447,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.009749585298191,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.009783794093667,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0098076021692963,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0104532469446181,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0108988251843471,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0110378371938458,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0116300599955843,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0128033547128812,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0136237901798348,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
0.0,0.0,1.0136892676155966,1.0,0.0,0.0,Feynman64,epsilon,0.0,0.0,0.0
