n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0012822847651441,1.0,1.0,0.7621321569595637,0.7739054717317886,Feynman81,B,0.7739054717317886,0.0,0.7621321569595637
1.0,1.0,1.0021698403496022,1.0,1.0,0.7625039283669632,0.7373993712455896,Feynman81,B,0.7373993712455896,0.0,0.7625039283669632
1.0,1.0,1.0039829696754912,1.0,1.0,0.7632618334605391,0.7520457979749984,Feynman81,B,0.7520457979749984,0.0,0.7632618334605391
1.0,1.0,1.0054212964223237,1.0,1.0,0.7638615773457716,0.7932666221321617,Feynman81,B,0.7932666221321617,0.0,0.7638615773457716
1.0,1.0,1.0057038186327283,1.0,1.0,0.7639792268300454,0.7447273365369598,Feynman81,B,0.7447273365369598,0.0,0.7639792268300454
1.0,1.0,1.0066693336459944,1.0,1.0,0.7643809088196377,0.7411894017074213,Feynman81,B,0.7411894017074213,0.0,0.7643809088196377
1.0,1.0,1.007071453298653,1.0,1.0,0.7645480273593394,0.7939296754614437,Feynman81,B,0.7939296754614437,0.0,0.7645480273593394
1.0,1.0,1.0108544797063406,1.0,1.0,0.7661152071575085,0.7693197850850177,Feynman81,B,0.7693197850850177,0.0,0.7661152071575085
1.0,1.0,1.0116213176584843,1.0,1.0,0.7664317769427107,0.7427523928875821,Feynman81,B,0.7427523928875821,0.0,0.7664317769427107
1.0,1.0,1.012636199621769,1.0,1.0,0.7668501737206381,0.7599803852592669,Feynman81,B,0.7599803852592669,0.0,0.7668501737206381
1.0,1.0,1.0133659467580274,1.0,1.0,0.7671506181637597,0.7614927182875958,Feynman81,B,0.7614927182875958,0.0,0.7671506181637597
1.0,1.0,1.0150421648978871,1.0,1.0,0.7678394618476644,0.78473562887632,Feynman81,B,0.78473562887632,0.0,0.7678394618476644
1.0,1.0,1.0184099712917298,1.0,1.0,0.769218115252315,0.7282559049821589,Feynman81,B,0.7282559049821589,0.0,0.769218115252315
1.0,1.0,1.0187663181406297,1.0,1.0,0.7693635730374222,0.7643697130624344,Feynman81,B,0.7643697130624344,0.0,0.7693635730374222
1.0,1.0,1.019576149126618,1.0,1.0,0.7696938427689183,0.7687693095773798,Feynman81,B,0.7687693095773798,0.0,0.7696938427689183
1.0,1.0,1.023234728225907,1.0,1.0,0.7711807811004471,0.7695155391538108,Feynman81,B,0.7695155391538108,0.0,0.7711807811004471
1.0,1.0,1.0240653660811008,1.0,1.0,0.7715172065967948,0.7765331511541776,Feynman81,B,0.7765331511541776,0.0,0.7715172065967948
1.0,1.0,1.0251570797983485,1.0,1.0,0.7719587179012202,0.7550895802322451,Feynman81,B,0.7550895802322451,0.0,0.7719587179012202
1.0,1.0,1.0270501837799961,1.0,1.0,0.7727225656636699,0.7642308399522273,Feynman81,B,0.7642308399522273,0.0,0.7727225656636699
1.0,1.0,1.0278694807409279,1.0,1.0,0.7730524513543898,0.7288647284427925,Feynman81,B,0.7288647284427925,0.0,0.7730524513543898
1.0,1.0,1.0279764886672598,1.0,1.0,0.7730955067021428,0.7792256698439569,Feynman81,B,0.7792256698439569,0.0,0.7730955067021428
1.0,1.0,1.0294981601420465,1.0,1.0,0.7737069908281992,0.7872955070158538,Feynman81,B,0.7872955070158538,0.0,0.7737069908281992
1.0,1.0,1.0302576239623091,1.0,1.0,0.7740116434387032,0.7532095568022017,Feynman81,B,0.7532095568022017,0.0,0.7740116434387032
1.0,1.0,1.030501471150627,1.0,1.0,0.7741093847839933,0.7972763192902689,Feynman81,B,0.7972763192902689,0.0,0.7741093847839933
1.0,1.0,1.0317497769783475,1.0,1.0,0.7746091659512813,0.780367281860241,Feynman81,B,0.780367281860241,0.0,0.7746091659512813
1.0,1.0,1.0445152695569977,1.0,1.0,0.7796648492756794,0.7747054162643677,Feynman81,B,0.7747054162643677,0.0,0.7796648492756794
1.0,1.0,1.0483179958646032,1.0,1.0,0.7811515695973813,0.7686101150767867,Feynman81,B,0.7686101150767867,0.0,0.7811515695973813
1.0,1.0,1.0510547450615215,1.0,1.0,0.78221608213495,0.78417928949126,Feynman81,B,0.78417928949126,0.0,0.78221608213495
1.0,1.0,1.0511968399355558,1.0,1.0,0.7822712284254681,0.7433241291172846,Feynman81,B,0.7433241291172846,0.0,0.7822712284254681
1.0,1.0,1.052578701557644,1.0,1.0,0.782806882833551,0.7727191582978564,Feynman81,B,0.7727191582978564,0.0,0.782806882833551
1.0,1.0,1.0551971154663704,1.0,1.0,0.7838186915151738,0.7728584654900517,Feynman81,B,0.7728584654900517,0.0,0.7838186915151738
1.0,1.0,1.0568256878046802,1.0,1.0,0.7844459138231733,0.7865873043137923,Feynman81,B,0.7865873043137923,0.0,0.7844459138231733
1.0,1.0,1.0588567113484189,1.0,1.0,0.7852258923224118,0.7846856527197852,Feynman81,B,0.7846856527197852,0.0,0.7852258923224118
1.0,1.0,1.061591552589173,1.0,1.0,0.786272236366825,0.7638187121329002,Feynman81,B,0.7638187121329002,0.0,0.786272236366825
1.0,1.0,1.0641118446673161,1.0,1.0,0.7872325183581842,0.7995115763983862,Feynman81,B,0.7995115763983862,0.0,0.7872325183581842
1.0,1.0,1.0669003833883934,1.0,1.0,0.7882905765073775,0.7828702725546685,Feynman81,B,0.7828702725546685,0.0,0.7882905765073775
1.0,1.0,1.071068717232548,1.0,1.0,0.7898635216417336,0.7453552795062105,Feynman81,B,0.7453552795062105,0.0,0.7898635216417336
1.0,1.0,1.0724290418414708,1.0,1.0,0.7903746115052016,0.7832499973947555,Feynman81,B,0.7832499973947555,0.0,0.7903746115052016
1.0,1.0,1.0737275192257898,1.0,1.0,0.7908614405227091,0.7906526589480305,Feynman81,B,0.7906526589480305,0.0,0.7908614405227091
1.0,1.0,1.0761601911984213,1.0,1.0,0.7917708177099733,0.7919476955407738,Feynman81,B,0.7919476955407738,0.0,0.7917708177099733
1.0,1.0,1.076518620249542,1.0,1.0,0.7919045092740175,0.7722524376663202,Feynman81,B,0.7722524376663202,0.0,0.7919045092740175
1.0,1.0,1.0765964471156297,1.0,1.0,0.7919335281314155,0.7983757068499833,Feynman81,B,0.7983757068499833,0.0,0.7919335281314155
1.0,1.0,1.076981750546758,1.0,1.0,0.7920771413300931,0.7702933569644543,Feynman81,B,0.7702933569644543,0.0,0.7920771413300931
1.0,1.0,1.0809076309988637,1.0,1.0,0.7935354363657797,0.7895009512479593,Feynman81,B,0.7895009512479593,0.0,0.7935354363657797
1.0,1.0,1.0838001931020682,1.0,1.0,0.7946041005445654,0.8306886242900757,Feynman81,B,0.8306886242900757,0.0,0.7946041005445654
1.0,1.0,1.0845483266070817,1.0,1.0,0.7948797019008491,0.7742784017249376,Feynman81,B,0.7742784017249376,0.0,0.7948797019008491
1.0,1.0,1.0861271414404272,1.0,1.0,0.7954602392144621,0.776985106097521,Feynman81,B,0.776985106097521,0.0,0.7954602392144621
1.0,1.0,1.091183480092516,1.0,1.0,0.7973096897630235,0.7948206780179505,Feynman81,B,0.7948206780179505,0.0,0.7973096897630235
1.0,1.0,1.0913687482474352,1.0,1.0,0.7973771724749135,0.8092740917583637,Feynman81,B,0.8092740917583637,0.0,0.7973771724749135
1.0,1.0,1.0945404154411214,1.0,1.0,0.7985293431034254,0.7966915762681682,Feynman81,B,0.7966915762681682,0.0,0.7985293431034254
1.0,1.0,1.0971050114494156,1.0,1.0,0.7994567255204919,0.8336461095811919,Feynman81,B,0.8336461095811919,0.0,0.7994567255204919
1.0,1.0,1.0985357562224065,1.0,1.0,0.7999724466326193,0.7769543732768035,Feynman81,B,0.7769543732768035,0.0,0.7999724466326193
1.0,1.0,1.0998648155268853,1.0,1.0,0.8004504580649361,0.8072435677991187,Feynman81,B,0.8072435677991187,0.0,0.8004504580649361
1.0,1.0,1.1050036178217302,1.0,1.0,0.802289142793531,0.8408328901558765,Feynman81,B,0.8408328901558765,0.0,0.802289142793531
1.0,1.0,1.1069361315754955,1.0,1.0,0.8029766926811,0.7890433709223437,Feynman81,B,0.7890433709223437,0.0,0.8029766926811
1.0,1.0,1.1081418618149486,1.0,1.0,0.8034045878582502,0.8131970352991601,Feynman81,B,0.8131970352991601,0.0,0.8034045878582502
1.0,1.0,1.108580352950678,1.0,1.0,0.8035599962157952,0.7917796671587234,Feynman81,B,0.7917796671587234,0.0,0.8035599962157952
1.0,1.0,1.1099791255969222,1.0,1.0,0.8040550125204194,0.8235836754980822,Feynman81,B,0.8235836754980822,0.0,0.8040550125204194
1.0,1.0,1.1099863255172422,1.0,1.0,0.804057557645384,0.7941497453026856,Feynman81,B,0.7941497453026856,0.0,0.804057557645384
1.0,1.0,1.1121724031529823,1.0,1.0,0.8048289602374863,0.8260887275473986,Feynman81,B,0.8260887275473986,0.0,0.8048289602374863
1.0,1.0,1.1130619340087797,1.0,1.0,0.8051420735413959,0.8117422968991785,Feynman81,B,0.8117422968991785,0.0,0.8051420735413959
1.0,1.0,1.1132042534772997,1.0,1.0,0.8051921281435634,0.8218069783007201,Feynman81,B,0.8218069783007201,0.0,0.8051921281435634
1.0,1.0,1.1185819952659979,1.0,1.0,0.8070751233953408,0.8083867402256998,Feynman81,B,0.8083867402256998,0.0,0.8070751233953408
1.0,1.0,1.1231981371193962,1.0,1.0,0.8086784630059283,0.8042174293975646,Feynman81,B,0.8042174293975646,0.0,0.8086784630059283
1.0,1.0,1.1266318161886972,1.0,1.0,0.8098633555720135,0.7969490802063658,Feynman81,B,0.7969490802063658,0.0,0.8098633555720135
1.0,1.0,1.1274415916901614,1.0,1.0,0.8101418339179111,0.832958100964054,Feynman81,B,0.832958100964054,0.0,0.8101418339179111
1.0,1.0,1.127787380215164,1.0,1.0,0.810260637846346,0.8206024616988732,Feynman81,B,0.8206024616988732,0.0,0.810260637846346
1.0,1.0,1.130821153335011,1.0,1.0,0.8113001128846825,0.8446461154431988,Feynman81,B,0.8446461154431988,0.0,0.8113001128846825
1.0,1.0,1.1342181850909268,1.0,1.0,0.8124579959994928,0.8136931162622253,Feynman81,B,0.8136931162622253,0.0,0.8124579959994928
1.0,1.0,1.1363329545672194,1.0,1.0,0.8131755975067815,0.7993749898171947,Feynman81,B,0.7993749898171947,0.0,0.8131755975067815
1.0,1.0,1.1367646961257658,1.0,1.0,0.813321796657357,0.80460906017679,Feynman81,B,0.80460906017679,0.0,0.813321796657357
1.0,1.0,1.1372488267256688,1.0,1.0,0.8134856140549345,0.813978880608356,Feynman81,B,0.813978880608356,0.0,0.8134856140549345
1.0,1.0,1.1383065130191299,1.0,1.0,0.8138430594054609,0.8160479570454258,Feynman81,B,0.8160479570454258,0.0,0.8138430594054609
1.0,1.0,1.1404485039032406,1.0,1.0,0.8145650631888344,0.8339364356913658,Feynman81,B,0.8339364356913658,0.0,0.8145650631888344
1.0,1.0,1.141334969552096,1.0,1.0,0.8148631291748111,0.8262868472824259,Feynman81,B,0.8262868472824259,0.0,0.8148631291748111
1.0,1.0,1.1422312352116823,1.0,1.0,0.815164052860912,0.8376328335048348,Feynman81,B,0.8376328335048348,0.0,0.815164052860912
