n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.007055893229404,1.0,1.0,0.764541562597818,0.7865372229018504,Feynman81,B,0.7865372229018504,0.0,0.764541562597818
1.0,1.0,1.0072503225590395,1.0,1.0,0.7646223313494445,0.7583718868318954,Feynman81,B,0.7583718868318954,0.0,0.7646223313494445
1.0,1.0,1.0086336679526973,1.0,1.0,0.7651963001064662,0.7400382725411092,Feynman81,B,0.7400382725411092,0.0,0.7651963001064662
1.0,1.0,1.009840259011797,1.0,1.0,0.7656959399305281,0.7700229156646636,Feynman81,B,0.7700229156646636,0.0,0.7656959399305281
1.0,1.0,1.0110406787082056,1.0,1.0,0.7661921089408111,0.7584418856567892,Feynman81,B,0.7584418856567892,0.0,0.7661921089408111
1.0,1.0,1.013185046427644,1.0,1.0,0.7670761709778436,0.7781482198838564,Feynman81,B,0.7781482198838564,0.0,0.7670761709778436
1.0,1.0,1.0146780664476243,1.0,1.0,0.7676899858470391,0.7488175335893532,Feynman81,B,0.7488175335893532,0.0,0.7676899858470391
1.0,1.0,1.0147021400571283,1.0,1.0,0.7676998715422904,0.7822646645339701,Feynman81,B,0.7822646645339701,0.0,0.7676998715422904
1.0,1.0,1.0170455421130535,1.0,1.0,0.7686604290853153,0.7775573045400404,Feynman81,B,0.7775573045400404,0.0,0.7686604290853153
1.0,1.0,1.0176711186935483,1.0,1.0,0.7689162676602465,0.7915787974060448,Feynman81,B,0.7915787974060448,0.0,0.7689162676602465
1.0,1.0,1.0198853916855595,1.0,1.0,0.7698198511912143,0.7869333384727837,Feynman81,B,0.7869333384727837,0.0,0.7698198511912143
1.0,1.0,1.0212960169372218,1.0,1.0,0.7703938842949928,0.7567930992267969,Feynman81,B,0.7567930992267969,0.0,0.7703938842949928
1.0,1.0,1.0226313938603129,1.0,1.0,0.7709361478331149,0.8046420826801407,Feynman81,B,0.8046420826801407,0.0,0.7709361478331149
1.0,1.0,1.0242459316068206,1.0,1.0,0.7715902823347182,0.8017720601882963,Feynman81,B,0.8017720601882963,0.0,0.7715902823347182
