n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0017461160501018,1.0,1.0,1.0,0.7636576157948658,0.8181642062610774,Feynman81,mom,0.8181642062610774,0.0,0.7636576157948658
1.0,1.0027524974481254,1.0,1.0,1.0,0.7648471742943804,0.9850792071096355,Feynman81,mom,0.9850792071096355,0.0,0.7648471742943804
1.0,1.0031258621815917,1.0,1.0,1.0,0.7652885479613959,1.2781456912580405,Feynman81,mom,1.2781456912580405,0.0,0.7652885479613959
1.0,1.0042826575798975,1.0,1.0,1.0,0.7666562286924354,0.5920330078605807,Feynman81,mom,0.5920330078605807,0.0,0.7666562286924354
1.0,1.0048246054888792,1.0,1.0,1.0,0.7672970641770249,0.449328634520694,Feynman81,mom,0.449328634520694,0.0,0.7672970641770249
1.0,1.0052741787308923,1.0,1.0,1.0,0.7678287129253536,0.08158391546321764,Feynman81,mom,0.08158391546321764,0.0,0.7678287129253536
1.0,1.0142664175732672,1.0,1.0,1.0,0.7784706614333827,0.7119377924027671,Feynman81,mom,0.7119377924027671,0.0,0.7784706614333827
1.0,1.0161808701169779,1.0,1.0,1.0,0.7807382698188147,0.9883467201774387,Feynman81,mom,0.9883467201774387,0.0,0.7807382698188147
1.0,1.0186648026461027,1.0,1.0,1.0,0.7836813893676755,0.603531598986839,Feynman81,mom,0.603531598986839,0.0,0.7836813893676755
1.0,1.0187109398548189,1.0,1.0,1.0,0.7837360660003688,0.18113096393665973,Feynman81,mom,0.18113096393665973,0.0,0.7837360660003688
1.0,1.019641011466025,1.0,1.0,1.0,0.7848383622785512,1.9182655936499828,Feynman81,mom,1.9182655936499828,0.0,0.7848383622785512
1.0,1.0198193028625915,1.0,1.0,1.0,0.7850496858850974,0.36360507646131235,Feynman81,mom,0.36360507646131235,0.0,0.7850496858850974
1.0,1.0212475778270478,1.0,1.0,1.0,0.7867427790182112,1.0697784312111822,Feynman81,mom,1.0697784312111822,0.0,0.7867427790182112
1.0,1.0215878253441795,1.0,1.0,1.0,0.7871461645356209,0.770509231555474,Feynman81,mom,0.770509231555474,0.0,0.7871461645356209
1.0,1.0218664966215871,1.0,1.0,1.0,0.7874765623424823,0.7116228095489042,Feynman81,mom,0.7116228095489042,0.0,0.7874765623424823
1.0,1.024753178206487,1.0,1.0,1.0,0.7908998490818583,0.3433698916223878,Feynman81,mom,0.3433698916223878,0.0,0.7908998490818583
1.0,1.0264730412656644,1.0,1.0,1.0,0.7929400891457031,0.675191053081404,Feynman81,mom,0.675191053081404,0.0,0.7929400891457031
1.0,1.028744251615079,1.0,1.0,1.0,0.7956351376397962,0.852015138755999,Feynman81,mom,0.852015138755999,0.0,0.7956351376397962
1.0,1.033424067682514,1.0,1.0,1.0,0.8011909255287035,0.9406567634844822,Feynman81,mom,0.9406567634844822,0.0,0.8011909255287035
1.0,1.0349234429403564,1.0,1.0,1.0,0.8029716957980686,0.08594966129784487,Feynman81,mom,0.08594966129784487,0.0,0.8029716957980686
1.0,1.0386068293589452,1.0,1.0,1.0,0.807347849996284,0.560151893968019,Feynman81,mom,0.560151893968019,0.0,0.807347849996284
