n_rho,mom,B,kb,T,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0068200740516504,1.0,1.0,1.0,0.7696571294160015,0.5229593026007662,Feynman81,mom,0.5229593026007662,0.0,0.7696571294160015
1.0,1.0092184071254922,1.0,1.0,1.0,0.7724946754285603,0.9568894651265865,Feynman81,mom,0.9568894651265865,0.0,0.7724946754285603
1.0,1.00974156989247,1.0,1.0,1.0,0.7731137909465275,0.6298026410936185,Feynman81,mom,0.6298026410936185,0.0,0.7731137909465275
1.0,1.018382266476518,1.0,1.0,1.0,0.7833465674674733,0.7365097576154527,Feynman81,mom,0.7365097576154527,0.0,0.7833465674674733
1.0,1.0191999185261253,1.0,1.0,1.0,0.7843155716174296,0.0806313812036773,Feynman81,mom,0.0806313812036773,0.0,0.7843155716174296
1.0,1.0209011696952275,1.0,1.0,1.0,0.786332110313826,1.8772290802039193,Feynman81,mom,1.8772290802039193,0.0,0.786332110313826
1.0,1.022877079187416,1.0,1.0,1.0,0.7886748399360614,1.32578177443327,Feynman81,mom,1.32578177443327,0.0,0.7886748399360614
1.0,1.0239487811143224,1.0,1.0,1.0,0.7899457797653817,0.5591572834758823,Feynman81,mom,0.5591572834758823,0.0,0.7899457797653817
1.0,1.0256916175869901,1.0,1.0,1.0,0.7920130398457625,1.1564914635958867,Feynman81,mom,1.1564914635958867,0.0,0.7920130398457625
1.0,1.0271040414101087,1.0,1.0,1.0,0.7936887565216328,0.4289086007055257,Feynman81,mom,0.4289086007055257,0.0,0.7936887565216328
1.0,1.0321910540665677,1.0,1.0,1.0,0.7997267733156758,0.5642412951306508,Feynman81,mom,0.5642412951306508,0.0,0.7997267733156758
1.0,1.0330014327684012,1.0,1.0,1.0,0.8006890369281362,1.2122790759031106,Feynman81,mom,1.2122790759031106,0.0,0.8006890369281362
1.0,1.0355310194869602,1.0,1.0,1.0,0.8036933997913033,0.4379869462418532,Feynman81,mom,0.4379869462418532,0.0,0.8036933997913033
1.0,1.0357064496669297,1.0,1.0,1.0,0.8039017935879688,0.8943754128927119,Feynman81,mom,0.8943754128927119,0.0,0.8039017935879688
