mu,Nn,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function
1.0016534673856325,3.0,3.0049604021568976,2.8257921830112704,Feynman8,mu,6.476687337483686,1.0
1.0021981673228018,3.0,3.0065945019684053,3.0017645414882144,Feynman8,mu,6.65265969596063,1.0
1.007231212385057,3.0,3.0216936371551713,3.0782701848460032,Feynman8,mu,6.729165339318419,1.0
1.0116313474391894,3.0,3.034894042317568,4.51878720769605,Feynman8,mu,8.169682362168466,1.0
1.0129643406617315,3.0,3.0388930219851944,2.0628947817755305,Feynman8,mu,5.713789936247947,1.0
1.013184896866988,3.0,3.0395546906009643,4.490274140995787,Feynman8,mu,8.141169295468202,1.0
1.0167750265746918,3.0,3.0503250797240753,3.504109295818316,Feynman8,mu,7.155004450290733,1.0
1.0205143445023261,3.0,3.0615430335069784,3.554677958577567,Feynman8,mu,7.205573113049983,1.0
1.0215570545721886,3.0,3.064671163716566,3.7365590377398683,Feynman8,mu,7.387454192212284,1.0
1.0269073999015288,3.0,3.0807221997045864,1.6795700417988653,Feynman8,mu,5.330465196271281,1.0
1.0270111399387418,3.0,3.0810334198162255,2.2503898187598734,Feynman8,mu,5.90128497323229,1.0
1.0276375056380593,3.0,3.082912516914178,3.30309514107025,Feynman8,mu,6.953990295542666,1.0
1.0286884387539796,3.0,3.086065316261939,3.022146454006224,Feynman8,mu,6.6730416084786395,1.0
1.0295960625877125,3.0,3.0887881877631376,2.51242433101049,Feynman8,mu,6.163319485482906,1.0
1.0344816783380208,3.0,3.1034450350140625,0.9323368478691751,Feynman8,mu,4.583232002341591,1.0
1.0361613450607958,3.0,3.1084840351823875,3.103058626746756,Feynman8,mu,6.753953781219172,1.0
1.0410133679814182,3.0,3.1230401039442546,4.658443110085216,Feynman8,mu,8.309338264557631,1.0
1.0410811795255248,3.0,3.1232435385765744,3.5487743277935966,Feynman8,mu,7.199669482266012,1.0
1.0415525229545963,3.0,3.124657568863789,2.987864327034481,Feynman8,mu,6.638759481506897,1.0
1.0434163164393548,3.0,3.1302489493180645,1.7401887059920675,Feynman8,mu,5.391083860464484,1.0
1.0444777860529944,3.0,3.133433358158983,2.7895976561136875,Feynman8,mu,6.440492810586104,1.0
1.0448345378136752,3.0,3.1345036134410256,2.384708781628734,Feynman8,mu,6.03560393610115,1.0
1.0455951616350694,3.0,3.136785484905208,4.317176347344885,Feynman8,mu,7.968071501817301,1.0
1.0459394753729767,3.0,3.13781842611893,4.264881677451417,Feynman8,mu,7.915776831923832,1.0
1.04684562068904,3.0,3.14053686206712,1.4648172912856736,Feynman8,mu,5.115712445758089,1.0
1.0501614698602313,3.0,3.150484409580694,1.4759181032749773,Feynman8,mu,5.1268132577473935,1.0
1.0523657628962666,3.0,3.1570972886888,1.348904289473614,Feynman8,mu,4.99979944394603,1.0
1.05464212165748,3.0,3.16392636497244,2.2740470939562543,Feynman8,mu,5.92494224842867,1.0
1.054754076660028,3.0,3.164262229980084,2.1600842426216813,Feynman8,mu,5.810979397094098,1.0
1.0572526009180203,3.0,3.171757802754061,1.543957812345097,Feynman8,mu,5.194852966817513,1.0
1.0601358592286645,3.0,3.1804075776859935,3.395344907799534,Feynman8,mu,7.04624006227195,1.0
1.0642231124701267,3.0,3.19266933741038,3.608136420401497,Feynman8,mu,7.259031574873913,1.0
1.065110653140442,3.0,3.195331959421326,4.2776701949744655,Feynman8,mu,7.928565349446881,1.0
1.066634127202108,3.0,3.199902381606324,2.9798150041148794,Feynman8,mu,6.630710158587295,1.0
1.0691168695338868,3.0,3.2073506086016605,3.4939951569831873,Feynman8,mu,7.144890311455603,1.0
1.069171422690145,3.0,3.207514268070435,1.370056405564013,Feynman8,mu,5.020951560036429,1.0
1.0692809137828365,3.0,3.2078427413485096,3.4234953773700014,Feynman8,mu,7.074390531842417,1.0
1.0742705857123824,3.0,3.2228117571371473,3.534473864001884,Feynman8,mu,7.1853690184743,1.0
1.0760038831920187,3.0,3.228011649576056,4.9843173779925065,Feynman8,mu,8.635212532464923,1.0
1.0784420267824464,3.0,3.235326080347339,5.613044451217304,Feynman8,mu,9.26393960568972,1.0
1.0801584393396717,3.0,3.240475318019015,1.975873045808371,Feynman8,mu,5.626768200280787,1.0
1.0823605205119646,3.0,3.247081561535894,2.9750198395583713,Feynman8,mu,6.625914994030787,1.0
1.0840786789376917,3.0,3.252236036813075,3.28150565422437,Feynman8,mu,6.932400808696785,1.0
1.0851929674182443,3.0,3.255578902254733,2.0627876749305596,Feynman8,mu,5.713682829402975,1.0
1.0860108024077806,3.0,3.2580324072233418,3.2043728026825447,Feynman8,mu,6.855267957154961,1.0
1.0861300752199132,3.0,3.2583902256597397,2.101960331601761,Feynman8,mu,5.752855486074177,1.0
1.0910489006515647,3.0,3.273146701954694,0.38942942218532606,Feynman8,mu,4.040324576657742,1.0
1.0917723190596962,3.0,3.2753169571790886,1.9654524455869067,Feynman8,mu,5.616347600059322,1.0
1.093822209896889,3.0,3.281466629690667,4.249243882848509,Feynman8,mu,7.900139037320924,1.0
1.0961861423731154,3.0,3.288558427119346,1.3840947825702932,Feynman8,mu,5.03498993704271,1.0
1.0963337564786948,3.0,3.2890012694360844,5.324298289952239,Feynman8,mu,8.975193444424654,1.0
1.0970573069538512,3.0,3.2911719208615535,0.5483242820323277,Feynman8,mu,4.199219436504744,1.0
1.1006868519240975,3.0,3.3020605557722926,3.3195639407680866,Feynman8,mu,6.970459095240503,1.0
1.1012727906878021,3.0,3.3038183720634064,2.605637453076732,Feynman8,mu,6.256532607549148,1.0
1.1021752283117006,3.0,3.3065256849351017,4.732943701347454,Feynman8,mu,8.383838855819869,1.0
1.1100628755670003,3.0,3.330188626701001,2.880644661751904,Feynman8,mu,6.531539816224321,1.0
1.1124763346208315,3.0,3.3374290038624945,3.72244628841546,Feynman8,mu,7.373341442887876,1.0
1.113404538213517,3.0,3.3402136146405508,2.37225474295615,Feynman8,mu,6.023149897428565,1.0
1.113999441460106,3.0,3.341998324380318,3.8515779007415807,Feynman8,mu,7.502473055213997,1.0
1.1152529989600923,3.0,3.345758996880277,3.0927755562680783,Feynman8,mu,6.743670710740494,1.0
1.1162123123584213,3.0,3.348636937075264,0.8400297217127353,Feynman8,mu,4.490924876185151,1.0
1.1186931978452939,3.0,3.3560795935358816,2.944229587805484,Feynman8,mu,6.5951247422779,1.0
1.1201582921853088,3.0,3.3604748765559265,2.8422330007188354,Feynman8,mu,6.493128155191251,1.0
1.1201747226632568,3.0,3.3605241679897704,4.567433659860452,Feynman8,mu,8.218328814332867,1.0
1.123664587137906,3.0,3.370993761413718,3.470267083739812,Feynman8,mu,7.121162238212229,1.0
1.12510866960256,3.0,3.37532600880768,2.2503303154469982,Feynman8,mu,5.901225469919414,1.0
1.1252599322253771,3.0,3.3757797966761314,2.590830835782546,Feynman8,mu,6.241725990254961,1.0
1.1254671168910844,3.0,3.376401350673253,3.271907300801305,Feynman8,mu,6.922802455273721,1.0
1.1262730160443701,3.0,3.3788190481331104,4.678164447751233,Feynman8,mu,8.32905960222365,1.0
1.1280790413656288,3.0,3.3842371240968863,1.626054969571073,Feynman8,mu,5.2769501240434895,1.0
1.1311721688195742,3.0,3.3935165064587225,3.0035385118662337,Feynman8,mu,6.654433666338649,1.0
1.1327219539934172,3.0,3.3981658619802517,1.283099275738821,Feynman8,mu,4.9339944302112375,1.0
1.1330520643611481,3.0,3.3991561930834444,3.0236691253247923,Feynman8,mu,6.674564279797208,1.0
1.1364944598189077,3.0,3.409483379456723,2.7660514450944955,Feynman8,mu,6.416946599566911,1.0
1.1384927379695995,3.0,3.4154782139087985,3.5609296202739693,Feynman8,mu,7.211824774746385,1.0
1.1389681184511997,3.0,3.416904355353599,2.34064366637866,Feynman8,mu,5.991538820851076,1.0
1.140470373199745,3.0,3.421411119599235,2.299785893373452,Feynman8,mu,5.950681047845868,1.0
1.1415243550694374,3.0,3.424573065208312,5.108976471227922,Feynman8,mu,8.759871625700338,1.0
1.1425877531582103,3.0,3.427763259474631,4.152740691633409,Feynman8,mu,7.803635846105825,1.0
1.1434773930053157,3.0,3.430432179015947,3.02873559852046,Feynman8,mu,6.6796307529928765,1.0
1.1500355273138538,3.0,3.4501065819415615,3.775899605754121,Feynman8,mu,7.426794760226537,1.0
1.1506679704941827,3.0,3.452003911482548,2.4616280482384623,Feynman8,mu,6.112523202710879,1.0
1.1515913946741887,3.0,3.454774184022566,5.854672372890767,Feynman8,mu,9.505567527363183,1.0
1.1524368308370536,3.0,3.457310492511161,3.790075461593264,Feynman8,mu,7.44097061606568,1.0
1.154519896904107,3.0,3.463559690712321,3.628316939358753,Feynman8,mu,7.279212093831169,1.0
1.1551758101171834,3.0,3.46552743035155,2.0616685935404,Feynman8,mu,5.7125637480128155,1.0
1.1577449400500055,3.0,3.4732348201500165,5.06417037577701,Feynman8,mu,8.715065530249426,1.0
1.1577608149846679,3.0,3.4732824449540036,4.832902426011508,Feynman8,mu,8.483797580483923,1.0
1.1631898624850248,3.0,3.4895695874550743,1.5889648603133144,Feynman8,mu,5.23986001478573,1.0
1.1645095282169047,3.0,3.493528584650714,2.5999581875099596,Feynman8,mu,6.250853341982376,1.0
1.1656230179667526,3.0,3.496869053900258,4.7351949059113245,Feynman8,mu,8.38609006038374,1.0
1.1668432959516841,3.0,3.5005298878550524,3.6426833557325184,Feynman8,mu,7.293578510204934,1.0
