mom,Bx,By,Bz,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0013978886491084,1.0,1.0,1.7328582548468563,1.5405529917488774,Feynman91,Bx,1.5405529917488774,0.0,1.7328582548468563
1.0,1.0027296083668245,1.0,1.0,1.733628180289962,2.407855913271446,Feynman91,Bx,2.407855913271446,0.0,1.733628180289962
1.0,1.0039496130713221,1.0,1.0,1.7343341159032932,1.5959441333677846,Feynman91,Bx,1.5959441333677846,0.0,1.7343341159032932
1.0,1.0051035756886533,1.0,1.0,1.7350023624946787,2.227457791911919,Feynman91,Bx,2.227457791911919,0.0,1.7350023624946787
1.0,1.00638424763823,1.0,1.0,1.7357445819861765,1.298434140080033,Feynman91,Bx,1.298434140080033,0.0,1.7357445819861765
1.0,1.006541539353572,1.0,1.0,1.735835784411722,2.2939585020937208,Feynman91,Bx,2.2939585020937208,0.0,1.735835784411722
1.0,1.0067213240653006,1.0,1.0,1.7359400405335985,2.1059101352937617,Feynman91,Bx,2.1059101352937617,0.0,1.7359400405335985
1.0,1.007332553566965,1.0,1.0,1.7362945814220991,2.037212974467222,Feynman91,Bx,2.037212974467222,0.0,1.7362945814220991
1.0,1.0083932483079763,1.0,1.0,1.7369101713194934,2.1358124527043274,Feynman91,Bx,2.1358124527043274,0.0,1.7369101713194934
1.0,1.013280288032822,1.0,1.0,1.7397519771840695,1.9538193991708541,Feynman91,Bx,1.9538193991708541,0.0,1.7397519771840695
1.0,1.0144100527925617,1.0,1.0,1.7404102261267622,2.189855435690744,Feynman91,Bx,2.189855435690744,0.0,1.7404102261267622
1.0,1.0155334923923265,1.0,1.0,1.7410652699340585,1.2823762742978504,Feynman91,Bx,1.2823762742978504,0.0,1.7410652699340585
1.0,1.0163019371417916,1.0,1.0,1.7415136024269688,0.731226107756245,Feynman91,Bx,0.731226107756245,0.0,1.7415136024269688
1.0,1.0195234734921206,1.0,1.0,1.743395569858269,1.3452627548997773,Feynman91,Bx,1.3452627548997773,0.0,1.743395569858269
1.0,1.019727541878844,1.0,1.0,1.743514915240552,1.4944362558912339,Feynman91,Bx,1.4944362558912339,0.0,1.743514915240552
1.0,1.0197397997633404,1.0,1.0,1.7435220845235593,1.333307537901261,Feynman91,Bx,1.333307537901261,0.0,1.7435220845235593
1.0,1.0211124368477194,1.0,1.0,1.7443252588565836,1.3764350257126927,Feynman91,Bx,1.3764350257126927,0.0,1.7443252588565836
1.0,1.0216150633990355,1.0,1.0,1.7446195395454607,1.8826681417389988,Feynman91,Bx,1.8826681417389988,0.0,1.7446195395454607
1.0,1.0223392233956332,1.0,1.0,1.7450436922017702,1.7583448826691082,Feynman91,Bx,1.7583448826691082,0.0,1.7450436922017702
1.0,1.024544380059766,1.0,1.0,1.7463365044320784,1.320075747920967,Feynman91,Bx,1.320075747920967,0.0,1.7463365044320784
1.0,1.0262806511347407,1.0,1.0,1.7473557093200993,1.5533910749861415,Feynman91,Bx,1.5533910749861415,0.0,1.7473557093200993
1.0,1.0298126786624326,1.0,1.0,1.7494325231725558,1.3365491954318447,Feynman91,Bx,1.3365491954318447,0.0,1.7494325231725558
1.0,1.031417458428499,1.0,1.0,1.750377665977004,1.808689092339787,Feynman91,Bx,1.808689092339787,0.0,1.750377665977004
1.0,1.0338315227399582,1.0,1.0,1.7518012494032595,1.6524950262748157,Feynman91,Bx,1.6524950262748157,0.0,1.7518012494032595
1.0,1.034705892220603,1.0,1.0,1.7523174037245746,1.9166793590110696,Feynman91,Bx,1.9166793590110696,0.0,1.7523174037245746
