mom,Bx,By,Bz,target,target_with_noise,equation_name,varied_variable_name,target_with_error,error_function,target_with_error_without_noise
1.0,1.0,1.0,1.001074710866197,1.7326715143776792,2.146255063762537,Feynman91,Bz,2.146255063762537,0.0,1.7326715143776792
1.0,1.0,1.0,1.0015965262518063,1.7329730527044227,1.2497941463526951,Feynman91,Bz,1.2497941463526951,0.0,1.7329730527044227
1.0,1.0,1.0,1.004062393520977,1.734399403275691,2.1854424801129704,Feynman91,Bz,2.1854424801129704,0.0,1.734399403275691
1.0,1.0,1.0,1.0068716656553138,1.736027232245942,1.9694374057245785,Feynman91,Bz,1.9694374057245785,0.0,1.736027232245942
1.0,1.0,1.0,1.0070081173510133,1.7361063758914177,0.9209207147090287,Feynman91,Bz,0.9209207147090287,0.0,1.7361063758914177
1.0,1.0,1.0,1.007217142286399,1.7362276266997885,2.2319954748278485,Feynman91,Bz,2.2319954748278485,0.0,1.7362276266997885
1.0,1.0,1.0,1.008624919227739,1.737044682121667,1.8396954282552735,Feynman91,Bz,1.8396954282552735,0.0,1.737044682121667
1.0,1.0,1.0,1.0116320352909436,1.7387925048224981,1.9217152625376714,Feynman91,Bz,1.9217152625376714,0.0,1.7387925048224981
1.0,1.0,1.0,1.016203912225639,1.7414563994607197,1.3896351991309377,Feynman91,Bz,1.3896351991309377,0.0,1.7414563994607197
1.0,1.0,1.0,1.0170482118129889,1.7419492142861106,1.9585041614210577,Feynman91,Bz,1.9585041614210577,0.0,1.7419492142861106
1.0,1.0,1.0,1.0170741075943663,1.7419643338308843,2.006435691367173,Feynman91,Bz,2.006435691367173,0.0,1.7419643338308843
1.0,1.0,1.0,1.0192733211352234,1.7432492946156692,2.2692010754736636,Feynman91,Bz,2.2692010754736636,0.0,1.7432492946156692
1.0,1.0,1.0,1.0235285344630012,1.7457407198263948,1.7202283097733913,Feynman91,Bz,1.7202283097733913,0.0,1.7457407198263948
1.0,1.0,1.0,1.0257559431188108,1.7470475823066642,2.1623809140236916,Feynman91,Bz,2.1623809140236916,0.0,1.7470475823066642
1.0,1.0,1.0,1.0272032254859118,1.7478977276856507,2.4331845027213244,Feynman91,Bz,2.4331845027213244,0.0,1.7478977276856507
1.0,1.0,1.0,1.0307640429568221,1.7499927177713321,1.970682520080903,Feynman91,Bz,1.970682520080903,0.0,1.7499927177713321
1.0,1.0,1.0,1.035079291742468,1.7525379140532422,1.9774400146437046,Feynman91,Bz,1.9774400146437046,0.0,1.7525379140532422
1.0,1.0,1.0,1.0355684364470585,1.7528268558432705,1.672902714492043,Feynman91,Bz,1.672902714492043,0.0,1.7528268558432705
1.0,1.0,1.0,1.0402979971588646,1.7556252227889486,1.9470890094984377,Feynman91,Bz,1.9470890094984377,0.0,1.7556252227889486
1.0,1.0,1.0,1.0404573342816734,1.7557196428987532,2.045992704152341,Feynman91,Bz,2.045992704152341,0.0,1.7557196428987532
1.0,1.0,1.0,1.0433563708231737,1.7574391928420465,1.0548514976656533,Feynman91,Bz,1.0548514976656533,0.0,1.7574391928420465
