omega,T,h,kb,c,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,1.0,4.382377041058108,1.0,0.43601354762447786,0.445520818988696,Feynman44,kb
1.0,1.0,1.0,3.48332391568022,1.0,0.34493301598326803,0.3908681586400191,Feynman44,kb
1.0,1.0,1.0,1.5260379120892207,1.0,0.14669720880051107,0.18542369015408033,Feynman44,kb
1.0,1.0,1.0,4.601817020898728,1.0,0.4582451390546781,0.41930905768029014,Feynman44,kb
1.0,1.0,1.0,3.0970171422719917,1.0,0.305799614232823,0.33336200835633695,Feynman44,kb
1.0,1.0,1.0,2.046678885962906,1.0,0.1994135315041875,0.13089007907057218,Feynman44,kb
1.0,1.0,1.0,3.5605896679800417,1.0,0.35276034120995914,0.3226913991633305,Feynman44,kb
1.0,1.0,1.0,2.3831322041035436,1.0,0.23348863059786093,0.2685971888942652,Feynman44,kb
1.0,1.0,1.0,4.154693526383435,1.0,0.4129470587326524,0.4392939649039124,Feynman44,kb
1.0,1.0,1.0,3.216428659815599,1.0,0.31789596703445006,0.28492003390139853,Feynman44,kb
1.0,1.0,1.0,1.9083833334940268,1.0,0.18540883270122283,0.19044545307070884,Feynman44,kb
1.0,1.0,1.0,4.691570605309648,1.0,0.46733818938916843,0.38476750833519757,Feynman44,kb
1.0,1.0,1.0,2.8362321580348917,1.0,0.2793829197836342,0.24183673943847334,Feynman44,kb
1.0,1.0,1.0,4.228902906476504,1.0,0.4204651376859033,0.44268373304422676,Feynman44,kb
1.0,1.0,1.0,3.173123580537892,1.0,0.3135091525119874,0.3129204452857105,Feynman44,kb
1.0,1.0,1.0,4.471900498398016,1.0,0.44508319334976987,0.4698335670856044,Feynman44,kb
1.0,1.0,1.0,2.684235085478411,1.0,0.2639866658132811,0.3255692501051751,Feynman44,kb
1.0,1.0,1.0,1.4969806248294049,1.0,0.14375580895461806,0.13930737921553932,Feynman44,kb
1.0,1.0,1.0,3.0804473741759852,1.0,0.30412111713268897,0.28602480432708743,Feynman44,kb
1.0,1.0,1.0,2.141123179682299,1.0,0.208978131072996,0.22148917344990468,Feynman44,kb
1.0,1.0,1.0,4.957559483023513,1.0,0.49428605156019456,0.4321883651846953,Feynman44,kb
1.0,1.0,1.0,1.7545177752821268,1.0,0.16982881677118197,0.19875610224814097,Feynman44,kb
1.0,1.0,1.0,2.450345574337378,1.0,0.2402963076358752,0.2625836371499222,Feynman44,kb
1.0,1.0,1.0,1.0583222484397705,1.0,0.09936959152929245,0.11696102545443057,Feynman44,kb
1.0,1.0,1.0,3.985629076102667,1.0,0.39581943196439345,0.40680139090111195,Feynman44,kb
1.0,1.0,1.0,4.005007960791769,1.0,0.3977826638696842,0.3951629631211311,Feynman44,kb
1.0,1.0,1.0,3.0845712743733564,1.0,0.3045388627705937,0.2796428682854521,Feynman44,kb
1.0,1.0,1.0,3.1280520072491464,1.0,0.3089434184167562,0.23619411770917179,Feynman44,kb
1.0,1.0,1.0,4.212324783666562,1.0,0.41878562168823347,0.40994783002840085,Feynman44,kb
1.0,1.0,1.0,2.936422069404673,1.0,0.2895317076834197,0.27078859424481894,Feynman44,kb
1.0,1.0,1.0,2.592966865668126,1.0,0.2547420657807551,0.22362954903581617,Feynman44,kb
1.0,1.0,1.0,3.682994022887587,1.0,0.3651604991910493,0.39205580796730755,Feynman44,kb
1.0,1.0,1.0,3.1334793988045058,1.0,0.3094932097418392,0.35366932977341037,Feynman44,kb
1.0,1.0,1.0,4.594870296013095,1.0,0.4575413589272513,0.4847901660400861,Feynman44,kb
1.0,1.0,1.0,4.373989804211862,1.0,0.4351638364351901,0.36502473079345266,Feynman44,kb
1.0,1.0,1.0,2.5302525228483357,1.0,0.2483898183376031,0.2596052449715429,Feynman44,kb
1.0,1.0,1.0,4.0178207140943165,1.0,0.3990806969161048,0.37144779088044855,Feynman44,kb
1.0,1.0,1.0,2.1503602942231166,1.0,0.2099136174853285,0.1646583531174916,Feynman44,kb
1.0,1.0,1.0,3.8062351156499172,1.0,0.3776455524918197,0.45796347570092083,Feynman44,kb
1.0,1.0,1.0,1.9299797195298125,1.0,0.1875957504572812,0.21488945422747904,Feynman44,kb
1.0,1.0,1.0,2.5085839643370793,1.0,0.24619506432002264,0.19240713228291628,Feynman44,kb
1.0,1.0,1.0,3.948077060664486,1.0,0.39201512767020774,0.3930517930330422,Feynman44,kb
1.0,1.0,1.0,2.1787502851297993,1.0,0.21278882931538962,0.15345000618618831,Feynman44,kb
1.0,1.0,1.0,1.9078146369989728,1.0,0.18535124509463546,0.11147661581890193,Feynman44,kb
1.0,1.0,1.0,1.9678030367132129,1.0,0.19142592440972717,0.21555714712240887,Feynman44,kb
1.0,1.0,1.0,3.3066416926416786,1.0,0.32703464439022323,0.3847069640157461,Feynman44,kb
1.0,1.0,1.0,3.777368573383124,1.0,0.3747211896308055,0.42718922787543195,Feynman44,kb
