m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name
1.0,1.2478806303145582,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10399005252621318,0.09906271232339592,Feynman5,m2
1.0,1.2087653546864503,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10073044622387085,0.09550141652669808,Feynman5,m2
1.0,1.8580772762032685,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.15483977301693905,0.14327762590359774,Feynman5,m2
1.0,1.7056899179060125,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.14214082649216772,0.15270741970069499,Feynman5,m2
1.0,1.3620477369687816,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1135039780807318,0.10732994456169764,Feynman5,m2
1.0,1.396602287133247,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11638352392777059,0.1286019344025341,Feynman5,m2
1.0,1.4327415191922341,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11939512659935285,0.12626638942703292,Feynman5,m2
1.0,1.2765953745538277,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10638294787948564,0.10042908404411649,Feynman5,m2
1.0,1.0248577922331448,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08540481601942873,0.07926346225930558,Feynman5,m2
1.0,1.4761874209189205,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12301561840991004,0.1406084989127433,Feynman5,m2
1.0,1.6534477664438558,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1377873138703213,0.14216822670763019,Feynman5,m2
1.0,1.1771145914275958,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.09809288261896632,0.10685649931995247,Feynman5,m2
1.0,1.4780660903975522,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12317217419979602,0.12895501351262234,Feynman5,m2
1.0,1.5002127817969286,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1250177318164107,0.12333236905815778,Feynman5,m2
1.0,1.2906722990902018,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10755602492418348,0.09856795786408593,Feynman5,m2
1.0,1.3383704687138924,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11153087239282437,0.10713158835172418,Feynman5,m2
1.0,1.8804939841620547,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.15670783201350455,0.15366542149599505,Feynman5,m2
1.0,1.3470625671386425,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1122552139282202,0.11049991280899576,Feynman5,m2
1.0,1.4714503590502828,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12262086325419023,0.11859383036649167,Feynman5,m2
1.0,1.6589748259716623,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1382479021643052,0.1280028056357553,Feynman5,m2
1.0,1.9311858040173964,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.16093215033478303,0.15283429504201906,Feynman5,m2
1.0,1.5592756365277136,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12993963637730946,0.13754246189659802,Feynman5,m2
1.0,1.7501385335333668,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.14584487779444724,0.15405521499876418,Feynman5,m2
1.0,1.518200431257335,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1265167026047779,0.13833513282993865,Feynman5,m2
1.0,1.5546326433876527,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12955272028230438,0.12433648755582154,Feynman5,m2
1.0,1.06450120213135,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08870843351094583,0.0829961595866768,Feynman5,m2
1.0,1.2273687048844015,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10228072540703347,0.10864189452758495,Feynman5,m2
1.0,1.0313994111674156,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08594995093061797,0.0815321516778108,Feynman5,m2
1.0,1.9062708871553515,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.15885590726294596,0.1437748810061871,Feynman5,m2
1.0,1.065375883578617,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0887813236315514,0.0930946432789691,Feynman5,m2
1.0,1.1117875138116509,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.09264895948430424,0.09331425925051258,Feynman5,m2
1.0,1.5449020417977621,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1287418368164802,0.11861730227637729,Feynman5,m2
1.0,1.6505183863889,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.13754319886574165,0.13441624284260828,Feynman5,m2
1.0,1.8411352185254632,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.15342793487712195,0.15295884184088399,Feynman5,m2
1.0,1.174603213045952,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.09788360108716267,0.08911434103275613,Feynman5,m2
1.0,1.9898848189704452,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.16582373491420377,0.16202854539306882,Feynman5,m2
1.0,1.4583752060498043,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12153126717081703,0.1314492543248754,Feynman5,m2
1.0,1.0574857596709597,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0881238133059133,0.09861560834253719,Feynman5,m2
1.0,1.5650152489637554,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1304179374136463,0.13883303539369185,Feynman5,m2
1.0,1.3483093895068605,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11235911579223838,0.09629251674470295,Feynman5,m2
1.0,1.0041556163311998,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.08367963469426665,0.07577142874358316,Feynman5,m2
1.0,1.336019388446487,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11133494903720725,0.11468412508781714,Feynman5,m2
1.0,1.748810894788367,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.14573424123236392,0.14640011740137474,Feynman5,m2
1.0,1.9441616132691226,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1620134677724269,0.14936712183250564,Feynman5,m2
1.0,1.451264913803062,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12093874281692184,0.11743004147751329,Feynman5,m2
1.0,1.7112021173939316,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.1426001764494943,0.14266913387421873,Feynman5,m2
1.0,1.3920201150511988,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.11600167625426656,0.11043821277337917,Feynman5,m2
1.0,1.2373039462391169,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10310866218659308,0.10692180465553758,Feynman5,m2
1.0,1.5540409729286278,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12950341441071897,0.12841754494256924,Feynman5,m2
1.0,1.249727708526834,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.10414397571056949,0.0980082990923157,Feynman5,m2
1.0,1.586476849763423,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.13220640414695192,0.13601528888910058,Feynman5,m2
1.0,1.4535574673002332,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.12112978894168609,0.11112659302963544,Feynman5,m2
