m1,m2,G,x1,x2,y1,y2,z1,z2,target,target_with_noise,equation_name,varied_variable_name
1.0,1.0,1.0,3.0,1.6292817759280198,3.0,1.0,3.0,1.0,0.10122616826828351,0.1037336992439187,Feynman5,x2
1.0,1.0,1.0,3.0,1.0615703197585034,3.0,1.0,3.0,1.0,0.08505202478024673,0.08705223582009262,Feynman5,x2
1.0,1.0,1.0,3.0,1.0892347472719914,3.0,1.0,3.0,1.0,0.08582936682524785,0.08153620527827848,Feynman5,x2
1.0,1.0,1.0,3.0,1.7285443159913418,3.0,1.0,3.0,1.0,0.10398686085818139,0.10523034736853379,Feynman5,x2
1.0,1.0,1.0,3.0,1.9059764627839693,3.0,1.0,3.0,1.0,0.10873243801252148,0.11152701556300298,Feynman5,x2
1.0,1.0,1.0,3.0,1.0847471774723896,3.0,1.0,3.0,1.0,0.08570307055513333,0.08406471795031097,Feynman5,x2
1.0,1.0,1.0,3.0,1.7712370748515938,3.0,1.0,3.0,1.0,0.10515403759937601,0.10422346378503218,Feynman5,x2
1.0,1.0,1.0,3.0,1.3906285715504685,3.0,1.0,3.0,1.0,0.0944280251367737,0.09433978717193685,Feynman5,x2
1.0,1.0,1.0,3.0,1.1876924621877842,3.0,1.0,3.0,1.0,0.08861745471520138,0.08167061602665517,Feynman5,x2
1.0,1.0,1.0,3.0,1.7081405093819262,3.0,1.0,3.0,1.0,0.10342437117139561,0.10366494482630045,Feynman5,x2
1.0,1.0,1.0,3.0,1.9067855165509413,3.0,1.0,3.0,1.0,0.10875336348411567,0.10898962014767148,Feynman5,x2
1.0,1.0,1.0,3.0,1.6565460768802822,3.0,1.0,3.0,1.0,0.10199014966470751,0.09524610300722201,Feynman5,x2
1.0,1.0,1.0,3.0,1.7730678871602543,3.0,1.0,3.0,1.0,0.10520377413476979,0.10524467169752391,Feynman5,x2
1.0,1.0,1.0,3.0,1.9566444991585341,3.0,1.0,3.0,1.0,0.11002805967211088,0.10988539158543895,Feynman5,x2
1.0,1.0,1.0,3.0,1.8464806780495686,3.0,1.0,3.0,1.0,0.10717416547885854,0.10938288302965563,Feynman5,x2
1.0,1.0,1.0,3.0,1.3678652558241997,3.0,1.0,3.0,1.0,0.09377464084167227,0.09242264693027331,Feynman5,x2
1.0,1.0,1.0,3.0,1.489811714798282,3.0,1.0,3.0,1.0,0.09726993772359407,0.0940369548757165,Feynman5,x2
1.0,1.0,1.0,3.0,1.605622496644266,3.0,1.0,3.0,1.0,0.10056023492734249,0.1036404160721986,Feynman5,x2
1.0,1.0,1.0,3.0,1.5937593492287594,3.0,1.0,3.0,1.0,0.10022537913648044,0.10545532953567996,Feynman5,x2
1.0,1.0,1.0,3.0,1.9890824342253288,3.0,1.0,3.0,1.0,0.11084072962462915,0.1097649950828089,Feynman5,x2
1.0,1.0,1.0,3.0,1.387770024437658,3.0,1.0,3.0,1.0,0.09434598214723777,0.09188550897356139,Feynman5,x2
1.0,1.0,1.0,3.0,1.6419658616373733,3.0,1.0,3.0,1.0,0.10158207250639961,0.10328971348401084,Feynman5,x2
1.0,1.0,1.0,3.0,1.7598866517588667,3.0,1.0,3.0,1.0,0.10484508957356799,0.10752374390201083,Feynman5,x2
1.0,1.0,1.0,3.0,1.5618332772191508,3.0,1.0,3.0,1.0,0.09932140120089084,0.10280329638423867,Feynman5,x2
1.0,1.0,1.0,3.0,1.216893396909094,3.0,1.0,3.0,1.0,0.08944968547863652,0.09454592366373551,Feynman5,x2
1.0,1.0,1.0,3.0,1.6127701232962264,3.0,1.0,3.0,1.0,0.10076169055975592,0.1011440662716457,Feynman5,x2
1.0,1.0,1.0,3.0,1.0110051238444644,3.0,1.0,3.0,1.0,0.08363930950421547,0.07531109597585747,Feynman5,x2
1.0,1.0,1.0,3.0,1.2057328519970283,3.0,1.0,3.0,1.0,0.08913136900830351,0.08964156588054109,Feynman5,x2
1.0,1.0,1.0,3.0,1.8396511068877954,3.0,1.0,3.0,1.0,0.10699295748270818,0.10315370113441226,Feynman5,x2
1.0,1.0,1.0,3.0,1.1531351361268982,3.0,1.0,3.0,1.0,0.08763543094287454,0.08141877167724622,Feynman5,x2
1.0,1.0,1.0,3.0,1.7613176352198736,3.0,1.0,3.0,1.0,0.10488409572333839,0.10492758355031626,Feynman5,x2
1.0,1.0,1.0,3.0,1.5857858305617125,3.0,1.0,3.0,1.0,0.0999999828296027,0.09673302542029256,Feynman5,x2
1.0,1.0,1.0,3.0,1.3408811196528774,3.0,1.0,3.0,1.0,0.09300010995416401,0.09071212057921405,Feynman5,x2
1.0,1.0,1.0,3.0,1.0702864285440339,3.0,1.0,3.0,1.0,0.08529661644455802,0.08707855879697425,Feynman5,x2
1.0,1.0,1.0,3.0,1.2569520566071022,3.0,1.0,3.0,1.0,0.09059434857535065,0.08831979599723877,Feynman5,x2
1.0,1.0,1.0,3.0,1.035505127434141,3.0,1.0,3.0,1.0,0.0843224347599006,0.08923509936168911,Feynman5,x2
1.0,1.0,1.0,3.0,1.3990613349018017,3.0,1.0,3.0,1.0,0.09467003347792688,0.09435864512781861,Feynman5,x2
1.0,1.0,1.0,3.0,1.8796907367550661,3.0,1.0,3.0,1.0,0.10804861892946736,0.11076188593923568,Feynman5,x2
1.0,1.0,1.0,3.0,1.6350724335108484,3.0,1.0,3.0,1.0,0.10138874946406194,0.09986060755928301,Feynman5,x2
1.0,1.0,1.0,3.0,1.4357187905171336,3.0,1.0,3.0,1.0,0.09572148232104137,0.09730443660759111,Feynman5,x2
1.0,1.0,1.0,3.0,1.4490639438945951,3.0,1.0,3.0,1.0,0.09610392155153354,0.09458683918254183,Feynman5,x2
1.0,1.0,1.0,3.0,1.5638559212035905,3.0,1.0,3.0,1.0,0.09937878505252815,0.09723197806806669,Feynman5,x2
1.0,1.0,1.0,3.0,1.590454066452207,3.0,1.0,3.0,1.0,0.10013197656074335,0.1016663388929743,Feynman5,x2
1.0,1.0,1.0,3.0,1.9630616603981346,3.0,1.0,3.0,1.0,0.11018990975139889,0.10593397720532165,Feynman5,x2
1.0,1.0,1.0,3.0,1.7210393943430398,3.0,1.0,3.0,1.0,0.1037802987674201,0.10211507039735664,Feynman5,x2
1.0,1.0,1.0,3.0,1.2878706125608503,3.0,1.0,3.0,1.0,0.09147969936494345,0.09005249136823111,Feynman5,x2
1.0,1.0,1.0,3.0,1.7256671698863135,3.0,1.0,3.0,1.0,0.10390771822146173,0.10546189125648647,Feynman5,x2
1.0,1.0,1.0,3.0,1.9172622555627272,3.0,1.0,3.0,1.0,0.10902365905723067,0.11081806095828277,Feynman5,x2
1.0,1.0,1.0,3.0,1.82708456242481,3.0,1.0,3.0,1.0,0.10665835444034222,0.1042616899144232,Feynman5,x2
1.0,1.0,1.0,3.0,1.6970030195233958,3.0,1.0,3.0,1.0,0.10311615865063223,0.10611889727788651,Feynman5,x2
