n,alpha,epsilon,Ef,target,target_with_noise,equation_name,varied_variable_name
0.0,0.0,1.0,1.2664988845801715,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.5551032135530782,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.4441094256825222,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.5957410760391366,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.856027953503426,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.4259031168894456,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.5170602221328897,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.9084263689275764,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.9771595966541233,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.1661748046030875,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.3557613320471922,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.3550247656174879,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.731245524571186,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.3040000807559888,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.531483405399276,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.1249974019975357,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.270987693557152,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.4221437935786545,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.7528026289508705,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.363070712945656,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.7301763310907932,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.8793281420018983,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.9063927786504111,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.011191247859298,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.8222016756320494,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.173998874333805,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.137163978042528,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.6810965660387036,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.968700693946428,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.545940946024727,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.3989282948488793,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.4564053760822167,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.4843301113637448,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.2404568882114593,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.8799836307887312,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.9251017641546508,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.4096441810457672,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.8113194154452263,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.0352914453843955,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.6551134680367159,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.0055277259812976,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.1928188553179115,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.1002639196329707,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.5062134500313267,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.3304355121934004,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.8770195355883255,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.6663090587529534,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.4244670655502087,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.475417020655251,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.7853218464377911,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.9338227732330273,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.247607686923986,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.505612498973062,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.5712825577728324,0.0,0.0,Feynman64,Ef
0.0,0.0,1.0,1.7328994221277048,0.0,0.0,Feynman64,Ef
