n,alpha,epsilon,Ef,target,target_with_noise,equation_name,varied_variable_name
0.0,0.0,1.8343111942860357,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.2227602776572732,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.9907541492534766,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.016188359071303,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.6702336950476293,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.2460339211660858,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.3000016091518494,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.0398850434384381,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.4469050134333532,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.2509153285121657,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.7555706352774063,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.9861550627399138,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.095972403149775,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.9839624221968097,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.2346710960466774,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.549039666308719,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.6957816899684874,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.8824178932827516,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.8846393754124915,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.3861088581732266,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.6115587849793107,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.8599890071115057,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.0110070109696379,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.0288344688448166,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.7605227783156154,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.3784771007640964,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.577829374857256,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.9844639780032205,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.1558617700798839,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.4212881109656164,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.3401463240250844,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.7154855801940276,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.524436080644496,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.1404914646079183,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.9104192659083528,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.3760496605438102,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.643368039202838,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.8763146856032302,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.874623286923367,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.6039740624023346,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.9375764320726776,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.554080638481727,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.7896067640012165,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.5084547090017977,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.5876798340965348,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.705688009218378,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.400850109221468,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.5106687987689256,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.566553832480635,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.3996835925853062,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.5596227567862542,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.7775173792743333,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.3589576190883186,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.2555401310467664,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.3251819889199423,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.311740000656771,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.5647326679572866,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.4190264477953214,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.6730050445239906,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.449500719536882,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.0147242287229776,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.47703494994754,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.6442577928480577,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.9319959594115872,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.3803821193562946,1.0,0.0,0.0,Feynman64,epsilon
0.0,0.0,1.706409974421993,1.0,0.0,0.0,Feynman64,epsilon
