EquationName,VariedVariable,DataFilePath,Degree,Lambda,Alpha,MaxInteractions,Runtime,Successful,RMSE_Training,RMSE_Test,RMSE_Full
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.05_None.csv,5,0.001,0.5,3,1127,True,0.018179577308684036,NaN,0.018179577308684036
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es1_ew0.125_Spike.csv,5,0.001,0.5,3,1123,True,0.022114639750388982,NaN,0.022114639750388982
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.05_None.csv,5,0.001,0.5,3,1989,True,0.020541663749700678,NaN,0.020541663749700678
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.05_Normal.csv,5,0.001,0.5,3,764,True,0.01830789718944366,NaN,0.01830789718944366
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es1_ew0.125_Square.csv,5,0.001,0.5,3,723,True,0.026037530875070995,NaN,0.026037530875070995
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s500_n0.03_es1_ew0.125_Spike.csv,5,0.001,0.5,3,2198,True,0.027947938603637118,NaN,0.027947938603637118
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.05_Spike.csv,5,0.001,0.5,3,430,True,0.019117371111953427,NaN,0.019117371111953427
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es1_ew0.15_None.csv,5,0.001,0.5,3,564,True,0.018885501867795897,NaN,0.018885501867795897
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es1_ew0.15_Normal.csv,5,0.001,0.5,3,976,True,0.01888879476327698,NaN,0.01888879476327698
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.05_Square.csv,5,0.001,0.5,3,1211,True,0.020775799343494224,NaN,0.020775799343494224
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s500_n0.03_es1_ew0.125_Square.csv,5,0.001,0.5,3,1775,True,0.04310272500073483,NaN,0.04310272500073483
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.05_Normal.csv,5,0.001,0.5,3,2119,True,0.020596531121876538,NaN,0.020596531121876538
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.075_None.csv,5,0.001,0.5,3,734,True,0.019921318844774782,NaN,0.019921318844774782
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es1_ew0.15_Spike.csv,5,0.001,0.5,3,780,True,0.020052612402234386,NaN,0.020052612402234386
Feynman17,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman17_s500_n0.01_es1_ew0.125_Spike.csv,5,0.001,0.5,3,4848,True,0.2657020974741514,NaN,0.2657020974741514
Feynman17,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman17_s200_n0.01_es0.5_ew0.05_None.csv,5,0.001,0.5,3,5284,True,0.14466083901731613,NaN,0.14466083901731613
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.075_Normal.csv,5,0.001,0.5,3,782,True,0.019677362417010666,NaN,0.019677362417010666
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es1_ew0.15_Square.csv,5,0.001,0.5,3,792,True,0.02233649122921929,NaN,0.02233649122921929
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s500_n0.03_es1_ew0.15_None.csv,5,0.001,0.5,3,1424,True,0.022137558459313374,NaN,0.022137558459313374
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.05_Spike.csv,5,0.001,0.5,3,1414,True,0.028790515226064187,NaN,0.028790515226064187
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es1_ew0.1_None.csv,5,0.001,0.5,3,605,True,0.020010560035058446,NaN,0.020010560035058446
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.075_Spike.csv,5,0.001,0.5,3,714,True,0.020459907836557576,NaN,0.020459907836557576
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es1_ew0.1_Normal.csv,5,0.001,0.5,3,464,True,0.019917725377484558,NaN,0.019917725377484558
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.075_Square.csv,5,0.001,0.5,3,470,True,0.02108369633610681,NaN,0.02108369633610681
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s500_n0.03_es1_ew0.15_Normal.csv,5,0.001,0.5,3,1510,True,0.022192317663324686,NaN,0.022192317663324686
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.05_Square.csv,5,0.001,0.5,3,1556,True,0.036456277724379725,NaN,0.036456277724379725
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es1_ew0.1_Spike.csv,5,0.001,0.5,3,581,True,0.020496018324863155,NaN,0.020496018324863155
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.125_None.csv,5,0.001,0.5,3,601,True,0.01975699777863572,NaN,0.01975699777863572
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es1_ew0.1_Square.csv,5,0.001,0.5,3,856,True,0.022023414113016015,NaN,0.022023414113016015
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.125_Normal.csv,5,0.001,0.5,3,1047,True,0.019860617188782147,NaN,0.019860617188782147
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s500_n0.03_es1_ew0.15_Spike.csv,5,0.001,0.5,3,1890,True,0.02935023123640633,NaN,0.02935023123640633
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.075_None.csv,5,0.001,0.5,3,1872,True,0.0191657675919498,NaN,0.0191657675919498
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es2_ew0.05_None.csv,5,0.001,0.5,3,883,True,0.019451020403496107,NaN,0.019451020403496107
Feynman17,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman17_s500_n0.01_es1_ew0.125_Square.csv,5,0.001,0.5,3,4548,True,0.430619114615232,NaN,0.430619114615232
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.125_Spike.csv,5,0.001,0.5,3,1383,True,0.021409298710863285,NaN,0.021409298710863285
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es2_ew0.05_Normal.csv,5,0.001,0.5,3,948,True,0.019608927872382043,NaN,0.019608927872382043
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.075_Normal.csv,5,0.001,0.5,3,1556,True,0.01917621869163531,NaN,0.01917621869163531
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.125_Square.csv,5,0.001,0.5,3,1097,True,0.022862956062957695,NaN,0.022862956062957695
Feynman17,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman17_s200_n0.01_es0.5_ew0.05_Normal.csv,5,0.001,0.5,3,5882,True,0.1447504286984495,NaN,0.1447504286984495
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es2_ew0.05_Spike.csv,5,0.001,0.5,3,877,True,0.020048257739170794,NaN,0.020048257739170794
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s500_n0.03_es1_ew0.15_Square.csv,5,0.001,0.5,3,2716,True,0.04170854990412114,NaN,0.04170854990412114
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es2_ew0.05_Square.csv,5,0.001,0.5,3,900,True,0.022522401857160985,NaN,0.022522401857160985
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.075_Spike.csv,5,0.001,0.5,3,1393,True,0.026788523989192,NaN,0.026788523989192
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.15_None.csv,5,0.001,0.5,3,1246,True,0.019719166274333448,NaN,0.019719166274333448
Feynman17,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman17_s500_n0.01_es1_ew0.15_None.csv,5,0.001,0.5,3,3524,True,0.15898710076193007,NaN,0.15898710076193007
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es2_ew0.075_None.csv,5,0.001,0.5,3,1168,True,0.02085976235548492,NaN,0.02085976235548492
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s500_n0.03_es1_ew0.1_None.csv,5,0.001,0.5,3,1584,True,0.02119557802963768,NaN,0.02119557802963768
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.15_Normal.csv,5,0.001,0.5,3,1172,True,0.019868357609114918,NaN,0.019868357609114918
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.075_Square.csv,5,0.001,0.5,3,1875,True,0.03609925551567155,NaN,0.03609925551567155
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es2_ew0.075_Normal.csv,5,0.001,0.5,3,1412,True,0.02123082191794687,NaN,0.02123082191794687
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.15_Spike.csv,5,0.001,0.5,3,1402,True,0.021498969703667277,NaN,0.021498969703667277
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s500_n0.03_es1_ew0.1_Normal.csv,5,0.001,0.5,3,1784,True,0.02134918183259187,NaN,0.02134918183259187
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.125_None.csv,5,0.001,0.5,3,1982,True,0.020725421829875884,NaN,0.020725421829875884
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es2_ew0.075_Spike.csv,5,0.001,0.5,3,1657,True,0.022613678726519138,NaN,0.022613678726519138
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.15_Square.csv,5,0.001,0.5,3,2258,True,0.024022758356545753,NaN,0.024022758356545753
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s500_n0.03_es1_ew0.1_Spike.csv,5,0.001,0.5,3,2002,True,0.028814369012583302,NaN,0.028814369012583302
Feynman44,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman44_s500_n0.1_es1_ew0.125_Spike.csv,5,0.001,0.5,3,17287,True,1.2783256537476904,NaN,1.2783256537476904
Feynman17,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman17_s200_n0.01_es0.5_ew0.05_Spike.csv,5,0.001,0.5,3,6620,True,0.22337112097085174,NaN,0.22337112097085174
Feynman17,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman17_s500_n0.01_es1_ew0.15_Normal.csv,5,0.001,0.5,3,4824,True,0.15888854066549757,NaN,0.15888854066549757
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.125_Normal.csv,5,0.001,0.5,3,1798,True,0.020857058239987424,NaN,0.020857058239987424
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es2_ew0.075_Square.csv,5,0.001,0.5,3,1445,True,0.02515553094459087,NaN,0.02515553094459087
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.1_None.csv,5,0.001,0.5,3,1013,True,0.02079482252599676,NaN,0.02079482252599676
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s500_n0.03_es1_ew0.1_Square.csv,5,0.001,0.5,3,1850,True,0.04241627835703304,NaN,0.04241627835703304
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es2_ew0.125_None.csv,5,0.001,0.5,3,1243,True,0.021673191558444164,NaN,0.021673191558444164
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.1_Normal.csv,5,0.001,0.5,3,1112,True,0.020955850266742213,NaN,0.020955850266742213
Feynman31,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman31_s200_n0.03_es0.5_ew0.125_Spike.csv,5,0.001,0.5,3,1895,True,0.025496982075350602,NaN,0.025496982075350602
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s200_n0.02_es0.5_ew0.1_Spike.csv,5,0.001,0.5,3,1212,True,0.022418190560239755,NaN,0.022418190560239755
Feynman2,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman2_s500_n0.02_es2_ew0.125_Normal.csv,5,0.001,0.5,3,1346,True,0.021730933894230083,NaN,0.021730933894230083
Feynman44,,D:\src\SC-DataValidation-Datasets\data\2.2.1-multivariate_error\Feynman44_s200_n0.1_es0.5_ew0.05_None.csv,5,0.001,0.5,3,21207,True,1.1536139767638205,NaN,1.1536139767638205
