,DataSize,ErrorWidthPercentage,NoiseLevelPercentage,ErrorScaling,AUC
0,200.0,0.05,0.01,0.5,0.7809917355371901
1,200.0,0.05,0.01,1.0,0.778236914600551
2,200.0,0.05,0.01,1.5,0.78099173553719
3,200.0,0.05,0.01,2.0,0.7741046831955923
4,200.0,0.05,0.01,3.0,0.7865013774104684
5,200.0,0.05,0.02,0.5,0.7768595041322314
6,200.0,0.05,0.02,1.0,0.7713498622589533
7,200.0,0.05,0.02,1.5,0.7300275482093666
8,200.0,0.05,0.02,2.0,0.6790633608815428
9,200.0,0.05,0.02,3.0,0.7685950413223142
10,200.0,0.05,0.03,0.5,0.7162534435261707
11,200.0,0.05,0.03,1.0,0.7011019283746557
12,200.0,0.05,0.03,1.5,0.7066115702479339
13,200.0,0.05,0.03,2.0,0.7465564738292011
14,200.0,0.05,0.03,3.0,0.7231404958677686
15,200.0,0.05,0.05,0.5,0.6584022038567494
16,200.0,0.05,0.05,1.0,0.6515151515151516
17,200.0,0.05,0.05,1.5,0.706611570247934
18,200.0,0.05,0.05,2.0,0.6556473829201103
19,200.0,0.05,0.05,3.0,0.6900826446280992
20,200.0,0.05,0.1,0.5,0.5991735537190083
21,200.0,0.05,0.1,1.0,0.6115702479338844
22,200.0,0.05,0.1,1.5,0.6446280991735538
23,200.0,0.05,0.1,2.0,0.6336088154269973
24,200.0,0.05,0.1,3.0,0.6060606060606062
25,200.0,0.075,0.01,0.5,0.7988980716253443
26,200.0,0.075,0.01,1.0,0.7699724517906337
27,200.0,0.075,0.01,1.5,0.7961432506887054
28,200.0,0.075,0.01,2.0,0.7603305785123967
29,200.0,0.075,0.01,3.0,0.7548209366391185
30,200.0,0.075,0.02,0.5,0.775482093663912
31,200.0,0.075,0.02,1.0,0.7617079889807163
32,200.0,0.075,0.02,1.5,0.7603305785123968
33,200.0,0.075,0.02,2.0,0.7865013774104683
34,200.0,0.075,0.02,3.0,0.7906336088154271
35,200.0,0.075,0.03,0.5,0.7203856749311295
36,200.0,0.075,0.03,1.0,0.7520661157024794
37,200.0,0.075,0.03,1.5,0.7561983471074382
38,200.0,0.075,0.03,2.0,0.7176308539944904
