,DataSize,ErrorWidthPercentage,NoiseLevelPercentage,ErrorScaling,AUC
0,50.0,0.05,0.01,0.5,0.7413911845730027
1,50.0,0.05,0.01,1.0,0.7966597796143251
2,50.0,0.05,0.01,1.5,0.8168044077134986
3,50.0,0.05,0.01,2.0,0.8310950413223139
4,50.0,0.05,0.01,3.0,0.8333333333333333
5,50.0,0.05,0.02,0.5,0.7172865013774103
6,50.0,0.05,0.02,1.0,0.7928719008264463
7,50.0,0.05,0.02,1.5,0.8193870523415976
8,50.0,0.05,0.02,2.0,0.8290289256198347
9,50.0,0.05,0.02,3.0,0.833333333333333
10,50.0,0.05,0.03,0.5,0.6609848484848483
11,50.0,0.05,0.03,1.0,0.7947658402203858
12,50.0,0.05,0.03,1.5,0.8118112947658401
13,50.0,0.05,0.03,2.0,0.8269628099173552
14,50.0,0.05,0.03,3.0,0.8326446280991735
15,50.0,0.05,0.05,0.5,0.5931473829201102
16,50.0,0.05,0.05,1.0,0.75
17,50.0,0.05,0.05,1.5,0.8119834710743801
18,50.0,0.05,0.05,2.0,0.8274793388429752
19,50.0,0.05,0.05,3.0,0.8302341597796142
20,50.0,0.05,0.1,0.5,0.5754132231404958
21,50.0,0.05,0.1,1.0,0.6642561983471074
22,50.0,0.05,0.1,1.5,0.7780647382920108
23,50.0,0.05,0.1,2.0,0.7978650137741046
24,50.0,0.05,0.1,3.0,0.8197314049586776
25,50.0,0.075,0.01,0.5,0.818870523415978
26,50.0,0.075,0.01,1.0,0.9255337465564739
27,50.0,0.075,0.01,1.5,0.9646177685950413
28,50.0,0.075,0.01,2.0,0.9771005509641874
29,50.0,0.075,0.01,3.0,0.9946625344352616
30,50.0,0.075,0.02,0.5,0.771952479338843
31,50.0,0.075,0.02,1.0,0.9393078512396695
32,50.0,0.075,0.02,1.5,0.9587637741046834
33,50.0,0.075,0.02,2.0,0.9713326446280992
34,50.0,0.075,0.02,3.0,0.9869146005509641
35,50.0,0.075,0.03,0.5,0.7260674931129476
36,50.0,0.075,0.03,1.0,0.8823174931129477
37,50.0,0.075,0.03,1.5,0.9562672176308541
38,50.0,0.075,0.03,2.0,0.9734848484848485
39,50.0,0.075,0.03,3.0,0.9851928374655647
40,50.0,0.075,0.05,0.5,0.6330922865013774
41,50.0,0.075,0.05,1.0,0.8297176308539945
42,50.0,0.075,0.05,1.5,0.9363808539944904
43,50.0,0.075,0.05,2.0,0.9578168044077136
44,50.0,0.075,0.05,3.0,0.9900137741046833
45,50.0,0.075,0.1,0.5,0.5797176308539945
46,50.0,0.075,0.1,1.0,0.7347623966942148
47,50.0,0.075,0.1,1.5,0.8434056473829201
48,50.0,0.075,0.1,2.0,0.9007403581267218
49,50.0,0.075,0.1,3.0,0.9418044077134986
50,50.0,0.1,0.01,0.5,0.884039256198347
51,50.0,0.1,0.01,1.0,0.9495523415977962
52,50.0,0.1,0.01,1.5,0.9695247933884297
53,50.0,0.1,0.01,2.0,0.9950929752066116
54,50.0,0.1,0.01,3.0,0.9959538567493113
55,50.0,0.1,0.02,0.5,0.8087982093663912
56,50.0,0.1,0.02,1.0,0.953340220385675
57,50.0,0.1,0.02,1.5,0.9791666666666666
58,50.0,0.1,0.02,2.0,0.9891528925619835
59,50.0,0.1,0.02,3.0,0.9940599173553719
60,50.0,0.1,0.03,0.5,0.7895144628099175
61,50.0,0.1,0.03,1.0,0.9274276859504132
62,50.0,0.1,0.03,1.5,0.9746900826446282
63,50.0,0.1,0.03,2.0,0.9884641873278237
64,50.0,0.1,0.03,3.0,0.9941460055096418
65,50.0,0.1,0.05,0.5,0.6881887052341598
